Wave,File Names,Average Wilcoxon P-value,Average Mann-Whitney U P-value,Average Wilcoxon Statistic,Average Mann-Whitney U Statistic
Alpha,"C:\Users\hp\OneDrive\Desktop\Aditya\Relax_Aditya.csv, C:\Users\hp\OneDrive\Desktop\Aditya\Aditya_PS_Moderate.csv",0.002407375,0.001962965,6262.214286,16112.53571
BetaL,"C:\Users\hp\OneDrive\Desktop\Aditya\Relax_Aditya.csv, C:\Users\hp\OneDrive\Desktop\Aditya\Aditya_PS_Moderate.csv",7.16E-10,1.42E-15,3093.214286,9684.035714
BetaH,"C:\Users\hp\OneDrive\Desktop\Aditya\Relax_Aditya.csv, C:\Users\hp\OneDrive\Desktop\Aditya\Aditya_PS_Moderate.csv",8.78E-26,2.84E-35,390.5714286,2151.571429
Gamma,"C:\Users\hp\OneDrive\Desktop\Aditya\Relax_Aditya.csv, C:\Users\hp\OneDrive\Desktop\Aditya\Aditya_PS_Moderate.csv",2.99E-42,4.00E-73,2.928571429,358.1428571
Theta,"C:\Users\hp\OneDrive\Desktop\Aditya\Relax_Aditya.csv, C:\Users\hp\OneDrive\Desktop\Aditya\Aditya_PS_Moderate.csv",0.000166013,9.26E-09,5329.928571,13888.07143
Alpha,"C:\Users\hp\OneDrive\Desktop\Aditya\Relax_Aditya.csv, C:\Users\hp\OneDrive\Desktop\Aditya\Aditya_Spell_Light.csv",0.000236577,0.000297231,4027.571429,11617.5
BetaL,"C:\Users\hp\OneDrive\Desktop\Aditya\Relax_Aditya.csv, C:\Users\hp\OneDrive\Desktop\Aditya\Aditya_Spell_Light.csv",2.16E-09,2.25E-16,1479.857143,7288.571429
BetaH,"C:\Users\hp\OneDrive\Desktop\Aditya\Relax_Aditya.csv, C:\Users\hp\OneDrive\Desktop\Aditya\Aditya_Spell_Light.csv",2.07E-37,4.70E-56,78.85714286,656.6428571
Gamma,"C:\Users\hp\OneDrive\Desktop\Aditya\Relax_Aditya.csv, C:\Users\hp\OneDrive\Desktop\Aditya\Aditya_Spell_Light.csv",6.10E-42,2.61E-79,0,73.28571429
Theta,"C:\Users\hp\OneDrive\Desktop\Aditya\Relax_Aditya.csv, C:\Users\hp\OneDrive\Desktop\Aditya\Aditya_Spell_Light.csv",0.000708248,8.59E-05,4661.928571,12840.5
