POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
43.021038,6.432728,1.955855,0.729911,0.716267,50.874813,6.582296,3.049012,1.054572,0.956074,9.199796,1.095732,0.940917,0.418817,0.37177,10.102654,1.453591,1.534593,0.529428,0.659943,9.751982,1.454113,1.938683,2.049067,1.145085,4.725565,0.479225,0.410094,0.382209,0.336733,12.515162,1.205529,0.794686,0.545018,0.439891,5.617052,0.706258,0.521235,0.478977,0.333914,8.988579,1.272084,0.745699,0.652797,0.490062,15.403915,1.553807,1.193013,1.047843,0.687496,23.37299,3.59119,1.575286,1.101223,0.927097,22.07992,3.290847,2.156106,1.039929,0.831212,49.704422,6.393804,2.017944,0.939644,1.150207,45.238605,6.821626,2.619437,0.775325,0.809406
36.32761,4.228861,2.082978,0.690256,0.771436,59.372517,6.03828,3.168953,0.950957,1.03785,9.682288,1.021541,1.019228,0.336948,0.386865,12.201419,1.370591,1.734648,0.459481,0.691505,10.183182,1.545073,2.139514,1.913831,1.08576,5.108163,0.490445,0.438581,0.287095,0.346466,11.587324,1.243941,0.881072,0.488791,0.451265,5.001666,0.683743,0.572871,0.35058,0.353376,7.831609,1.187303,0.864683,0.51368,0.530854,13.197364,1.638189,1.568819,0.971019,0.742881,19.596556,3.026485,1.974245,0.958825,0.904268,20.919882,3.125462,2.454667,0.909861,0.853716,38.628811,5.075391,2.112336,0.846103,1.125697,37.276386,4.881166,2.959538,0.645167,0.891388
29.733656,2.687761,2.213694,0.776758,0.8496,62.92173,6.24482,3.057733,0.874964,1.138216,9.235635,0.945275,1.038435,0.316269,0.425096,13.722973,1.301237,1.812979,0.477025,0.761358,10.062115,1.564274,2.160511,1.773594,1.068338,5.130812,0.495717,0.452725,0.226647,0.38866,9.766356,1.207796,0.924148,0.475604,0.481762,3.924657,0.630851,0.615682,0.254122,0.380611,6.092255,1.041855,0.964524,0.422283,0.583684,9.981238,1.613807,1.868613,0.92655,0.807437,14.673381,2.592334,2.306888,0.877815,0.901868,17.643972,2.909903,2.604018,0.864138,0.923435,27.236076,3.933042,2.084716,0.817647,1.132421,28.986322,3.439321,3.295475,0.637926,1.046738
24.343637,1.922215,2.315187,0.96761,0.943815,61.711063,7.554627,2.733855,0.834754,1.252633,8.13692,0.907203,0.978541,0.328673,0.492837,14.267205,1.293698,1.733743,0.535379,0.8663,9.472086,1.525295,1.999813,1.617662,1.105723,4.819591,0.51219,0.451349,0.198386,0.458095,7.733714,1.137679,0.909012,0.485345,0.535579,2.767824,0.569261,0.621578,0.199159,0.413112,4.351372,0.885179,1.003235,0.385704,0.648104,6.849185,1.520591,1.990645,0.910186,0.882221,10.315629,2.322481,2.465557,0.834982,0.926138,13.606141,2.753255,2.544999,0.869772,1.051463,18.351419,3.062311,1.908137,0.82406,1.176329,22.00609,2.61581,3.536767,0.712107,1.258678
19.834799,1.63256,2.374195,1.242714,1.07687,56.983242,9.881972,2.312485,0.827904,1.370731,6.668627,0.955531,0.850318,0.351111,0.594373,13.361242,1.382245,1.52216,0.587278,0.992046,8.488014,1.448506,1.698945,1.471583,1.214987,4.222629,0.54909,0.435363,0.202168,0.544611,5.979323,1.080609,0.831464,0.504253,0.611738,1.863453,0.52544,0.573428,0.183194,0.445511,3.044839,0.76035,0.96276,0.397408,0.715297,4.659205,1.423608,1.894711,0.909247,0.968897,7.340721,2.176135,2.409417,0.819624,0.968305,9.949807,2.774445,2.290063,0.907112,1.239541,12.770824,2.411321,1.615886,0.834607,1.251253,16.696045,2.212676,3.660706,0.847653,1.492485
16.444561,1.521749,2.440129,1.586952,1.311553,50.586395,12.582101,1.934969,0.842675,1.481021,5.307514,1.141333,0.691647,0.380476,0.72643,11.76121,1.617321,1.255893,0.611987,1.120234,7.338393,1.389396,1.337081,1.398337,1.411829,3.56003,0.613025,0.410885,0.245657,0.638575,4.722105,1.104324,0.716511,0.532341,0.704269,1.37726,0.530047,0.479966,0.201339,0.472296,2.305353,0.707554,0.85862,0.450854,0.772724,3.56265,1.420625,1.624595,0.918999,1.069511,5.79915,2.165085,2.182538,0.844642,1.012586,7.367542,3.11892,1.930311,0.98633,1.475767,9.669662,1.970255,1.283709,0.843705,1.348385,12.598464,1.989404,3.715388,1.067861,1.707214
13.669043,1.459853,2.56106,1.979673,1.716929,44.564552,14.804204,1.736328,0.875641,1.570493,4.230753,1.462326,0.547128,0.424302,0.871012,9.459665,1.991596,1.0254,0.617604,1.230761,5.882505,1.374349,0.991501,1.458638,1.69192,2.797937,0.692027,0.381845,0.333489,0.729862,3.695831,1.231976,0.599224,0.57375,0.800626,1.2117,0.591162,0.368944,0.248039,0.489638,1.907918,0.739406,0.72873,0.536527,0.809239,3.151801,1.569684,1.28111,0.938194,1.178069,5.092459,2.311172,1.861388,0.925581,1.044154,5.657759,3.815438,1.572793,1.117173,1.727259,7.911777,1.796858,0.992371,0.86485,1.456851,9.245347,1.804457,3.742676,1.399027,1.87193
12.980146,1.525296,2.727422,2.388834,2.315474,39.829296,15.965485,1.755682,0.922972,1.627786,4.078032,1.870477,0.44523,0.484204,0.997662,8.11631,2.460182,0.883176,0.6238,1.307312,5.061484,1.42547,0.726236,1.653089,2.025263,2.536529,0.77591,0.355031,0.454741,0.806734,3.421485,1.439963,0.513418,0.624918,0.883739,1.433573,0.690637,0.275962,0.313027,0.497591,1.969324,0.838005,0.611878,0.632928,0.8208,3.380487,1.855515,0.967975,0.960142,1.279075,5.350589,2.623358,1.537219,1.055217,1.057555,5.431097,4.745755,1.292847,1.282151,1.947227,6.858256,1.924566,0.79918,0.905013,1.55847,7.515066,1.697845,3.748536,1.826159,1.985102
13.27836,1.689469,2.874504,2.765739,3.053798,36.34111,15.908688,1.962558,0.98798,1.648918,4.776124,2.266661,0.398989,0.553609,1.075741,7.64913,2.904475,0.829454,0.646816,1.340275,4.979747,1.509723,0.567183,1.915647,2.357029,2.832387,0.84474,0.338402,0.583145,0.857035,3.711035,1.657264,0.483548,0.673587,0.938288,1.916881,0.792287,0.226208,0.381404,0.499561,2.46162,0.967393,0.531114,0.712311,0.810996,4.300972,2.189071,0.75445,0.978992,1.349413,6.453925,3.008687,1.292736,1.202299,1.059281,6.398818,5.638628,1.137387,1.441241,2.093183,6.400428,2.267068,0.721057,0.963488,1.63221,7.166133,1.66365,3.702732,2.288571,2.069369
14.228105,1.893836,2.87895,3.047142,3.812454,34.432232,15.03241,2.272477,1.078335,1.638346,6.009183,2.519805,0.392076,0.619891,1.087708,8.001576,3.201102,0.810284,0.689715,1.327461,5.656978,1.541456,0.485338,2.144879,2.625253,3.608793,0.872168,0.334052,0.68491,0.873119,4.381323,1.792004,0.504468,0.70093,0.95757,2.542793,0.853241,0.223586,0.437838,0.49948,3.328719,1.075588,0.482708,0.757207,0.788349,5.733202,2.431515,0.647278,0.99623,1.367659,8.34622,3.304355,1.150302,1.324079,1.063258,8.310191,6.160487,1.0845,1.548025,2.14322,6.60038,2.675394,0.725269,1.042614,1.673044,8.101495,1.677254,3.516205,2.703487,2.153787
