POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
75.370773,8.926151,2.653469,2.231842,1.528848,111.877647,24.371449,3.983261,1.815547,5.618373,11.287997,1.921604,1.387837,1.474618,1.019236,97.269447,11.083978,6.267064,3.255928,3.497226,10.841793,3.638633,1.308233,3.349066,4.922766,6.42796,0.747162,0.667599,1.417841,1.157775,7.3531,1.682414,1.447143,2.23869,1.551213,3.127519,0.692885,0.519842,1.270104,0.773766,4.148834,1.314889,0.873522,1.697208,1.072707,8.957236,2.986075,1.399418,3.225758,2.045319,122.832428,9.392188,5.598156,4.54144,2.448674,22.507147,4.970532,2.146498,3.619672,2.422328,29.92458,11.205315,2.610078,3.190123,3.027022,68.303932,11.093413,2.531606,2.711305,1.970513
100.516724,11.628092,2.425836,2.140893,1.503208,156.261841,31.991859,4.598758,1.843196,4.340428,13.841299,2.247825,1.23527,1.305158,0.955694,99.946236,9.199161,5.630966,2.944487,3.157453,12.2597,3.425991,1.141237,2.999797,4.03574,6.328313,0.746516,0.58613,1.301143,1.115538,8.377604,1.614766,1.393953,1.992802,1.448008,3.397012,0.702341,0.535718,1.223226,0.743791,4.648612,1.54533,0.878113,1.570028,1.056067,9.738179,3.477648,1.341087,2.920106,1.816089,122.027382,11.086762,5.417329,3.990944,2.468658,27.19433,6.042069,2.150426,3.360038,2.378446,39.748402,13.433118,2.906974,3.178446,2.843985,91.364464,14.43817,2.756503,2.658265,2.009139
117.074394,13.31295,2.315337,1.996511,1.514807,190.586288,36.648464,5.222538,1.864367,3.153874,15.691835,2.52553,1.120501,1.123289,0.924592,105.94342,8.704613,4.943319,2.55891,2.795259,13.892637,3.261338,1.004668,2.580471,3.247496,6.553111,0.785657,0.577357,1.144112,1.096245,9.536331,1.616572,1.395808,1.737946,1.379579,3.764619,0.724084,0.56166,1.12296,0.724011,5.31611,1.742832,0.885351,1.383935,1.056404,10.753428,3.794156,1.298061,2.48941,1.6732,108.983658,12.025311,4.803207,3.371351,2.506968,30.698812,6.804859,2.184525,3.064036,2.358557,47.133003,14.294369,3.057323,2.990041,2.737755,106.893532,16.393982,2.939892,2.535648,2.058252
118.395279,13.24286,2.192035,1.80565,1.529604,202.8414,36.545383,5.503043,1.876442,2.303346,15.817231,2.58288,1.027219,0.966686,0.923335,101.457008,8.108033,4.13427,2.155612,2.439101,14.441102,2.981248,0.880981,2.193127,2.699728,6.525729,0.819392,0.594822,0.984754,1.080275,10.042554,1.59174,1.406737,1.527383,1.345179,3.864262,0.712795,0.57008,0.992305,0.709324,5.533089,1.788229,0.85697,1.1747,1.057217,11.013556,3.754278,1.220562,2.043611,1.599577,87.325752,11.715538,3.88189,2.79301,2.519671,31.097258,6.841227,2.162689,2.771559,2.344161,49.177677,13.315982,2.924585,2.667171,2.643684,108.556313,16.147705,2.947823,2.339289,2.078259
103.177132,11.37679,1.994004,1.592035,1.526893,186.146667,31.629982,5.310334,1.877858,1.846273,13.978886,2.358641,0.946136,0.855011,0.937998,82.603867,7.168722,3.339703,1.794159,2.114397,13.586767,2.549972,0.773151,1.928842,2.425801,6.101241,0.812397,0.605223,0.853943,1.052316,9.664216,1.51072,1.39731,1.385281,1.329172,3.631725,0.660007,0.556821,0.859428,0.691816,5.191491,1.657838,0.799555,0.978377,1.045241,10.247423,3.357965,1.115945,1.672142,1.563867,62.717308,10.151597,2.870184,2.326333,2.469248,27.892929,6.072377,2.062196,2.50557,2.314141,45.30571,10.777692,2.515307,2.282467,2.501199,95.197586,13.738812,2.737751,2.082781,2.045653
77.149155,8.417867,1.729486,1.398171,1.504519,151.961258,23.509439,4.663363,1.887553,1.673213,10.973833,1.94661,0.873841,0.794573,0.952925,60.124084,6.036129,2.628743,1.519898,1.844385,12.104028,2.080789,0.680295,1.830808,2.360721,5.693262,0.769017,0.588103,0.770137,1.012132,8.931677,1.425641,1.350426,1.310939,1.312407,3.23965,0.597979,0.527407,0.749085,0.665643,4.592916,1.42687,0.734424,0.823443,1.016022,8.989195,2.772129,1.010974,1.414493,1.539261,41.298481,7.838483,1.969406,1.997951,2.344108,22.453489,4.817853,1.893176,2.285358,2.258095,36.739902,7.581598,1.957554,1.923879,2.294284,71.895424,10.079338,2.361657,1.811487,1.96564
49.313427,5.399031,1.441295,1.278533,1.472469,109.215546,14.787212,3.749815,1.93472,1.616771,7.997687,1.512269,0.808523,0.788569,0.958557,41.886593,5.081885,2.113427,1.376873,1.642946,10.708686,1.737402,0.594078,1.919859,2.395929,5.468908,0.728723,0.533388,0.737202,0.970789,8.413365,1.398611,1.261569,1.295889,1.279843,2.924641,0.56487,0.489663,0.680625,0.630885,4.10361,1.209937,0.675689,0.73365,0.973695,7.929463,2.212321,0.929799,1.282044,1.512139,26.162495,5.482683,1.312186,1.815828,2.161445,16.945629,3.551582,1.679715,2.149089,2.178652,26.592299,4.687825,1.433558,1.686832,2.054248,47.088486,6.421663,1.92349,1.607113,1.865376
27.341877,3.119161,1.159233,1.258243,1.439226,73.841583,7.804903,2.777368,2.040389,1.576205,5.853528,1.183206,0.73727,0.821554,0.952285,29.681383,4.502728,1.809803,1.36759,1.513248,9.922584,1.611306,0.528842,2.178547,2.444064,5.539212,0.720212,0.445875,0.73805,0.942641,8.34932,1.43744,1.128493,1.308802,1.2246,2.802155,0.570706,0.445834,0.658269,0.590303,3.932914,1.080436,0.62586,0.710378,0.92281,7.478999,1.829578,0.87308,1.260165,1.475803,17.95677,3.686214,0.89809,1.762506,1.949782,12.894365,2.618736,1.431486,2.115635,2.078326,18.168453,2.745852,1.062851,1.627704,1.826858,27.734911,3.6879,1.504319,1.530931,1.769158
14.750261,1.999707,0.946395,1.343542,1.410471,50.440941,3.977315,2.069868,2.184747,1.53923,4.778698,1.034751,0.660585,0.878516,0.936329,22.569206,4.332669,1.705663,1.467112,1.436899,9.716034,1.731553,0.513236,2.557569,2.453109,5.776908,0.780964,0.34619,0.754412,0.939173,8.683128,1.552736,0.970164,1.330633,1.154611,2.893592,0.629779,0.398829,0.678194,0.549175,4.173045,1.085452,0.586033,0.746705,0.869437,7.865268,1.749758,0.830131,1.331559,1.43014,14.605952,2.774563,0.689151,1.832942,1.742792,10.856571,2.210632,1.177019,2.196956,1.9584,13.454165,1.979779,0.856555,1.754495,1.646935,16.684122,2.292522,1.174715,1.608415,1.686127
9.953176,1.97826,0.862606,1.53074,1.413283,41.353741,3.52057,1.874318,2.373658,1.51451,4.455912,1.063251,0.614772,0.961597,0.915804,17.931667,4.519628,1.757693,1.644865,1.393183,9.993744,2.037338,0.54229,3.008036,2.392874,6.145659,0.918851,0.252315,0.784117,0.962855,9.320232,1.750265,0.818728,1.373543,1.091232,3.222628,0.759583,0.362756,0.734649,0.515747,4.949433,1.231014,0.562394,0.83748,0.827552,9.331435,2.003034,0.795203,1.482039,1.384495,14.341539,2.756213,0.600991,2.023511,1.57532,10.530429,2.313631,0.996816,2.407818,1.827669,13.604102,2.205657,0.763762,2.027697,1.52956,12.806053,2.052329,1.00102,1.826221,1.619989
