POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1.517805,1.168539,1.144333,0.353601,0.443415,3.219429,0.987086,0.872201,0.770076,0.495494,1.08076,0.71542,0.692127,0.246696,0.316774,1.513893,1.007824,0.635673,0.480098,0.375258,0.594767,0.511273,0.381542,0.152927,0.308484,0.426777,0.496062,0.494079,0.223737,0.169359,0.672286,0.596114,0.432226,0.291141,0.245003,0.490806,0.691843,0.953246,0.187135,0.192889,0.624555,0.928861,1.175001,0.278551,0.274754,0.677064,0.754488,1.172417,0.270568,0.39795,1.703596,1.461488,1.327228,1.283475,0.430443,0.811029,1.540147,1.477345,0.41906,0.411857,0.958109,1.054146,1.049699,1.071577,1.011614,1.630285,1.918065,0.987481,0.947889,1.234915
1.401374,1.038405,1.102871,0.360523,0.367922,3.335622,0.774016,0.876354,0.685699,0.489429,1.247872,0.677283,0.617508,0.24751,0.308926,1.507025,0.85937,0.633626,0.495287,0.403092,0.738014,0.473021,0.377391,0.158307,0.311549,0.507707,0.419871,0.438607,0.219325,0.166079,0.806639,0.552982,0.404515,0.268499,0.224093,0.480754,0.64723,0.767279,0.212872,0.182158,0.614987,0.872067,0.95026,0.245204,0.254751,0.598619,0.630349,0.918609,0.231214,0.366668,1.336259,1.374708,1.524879,1.188172,0.415707,1.036161,1.560416,1.328367,0.427253,0.41991,0.767547,1.00858,0.983168,1.009386,0.961505,1.939801,1.905505,0.937472,0.989672,1.275398
3.176931,0.883838,1.032701,0.39401,0.330517,8.651307,0.655107,0.870128,0.640305,0.500297,1.894303,0.597916,0.530907,0.27122,0.312775,2.579205,0.672234,0.631316,0.538321,0.445316,1.01271,0.407726,0.363202,0.172169,0.31969,0.606843,0.336556,0.374501,0.213175,0.171635,0.957994,0.496547,0.385332,0.257797,0.216378,0.504097,0.551722,0.568967,0.265346,0.182479,0.628028,0.721833,0.719837,0.236119,0.240023,0.54416,0.485088,0.688846,0.238447,0.342415,1.857807,1.248462,1.709539,1.122753,0.426146,1.809024,1.431976,1.12761,0.480162,0.441541,2.775702,1.005256,0.942705,0.979247,0.890216,4.271268,1.889236,0.892585,1.058153,1.283756
8.209492,0.815538,0.967491,0.449857,0.323756,23.559694,0.778615,0.874691,0.640659,0.50732,3.289829,0.514696,0.462111,0.318649,0.32861,5.403748,0.494448,0.657,0.618866,0.491841,1.498923,0.345439,0.353589,0.193717,0.331758,0.729767,0.266635,0.317357,0.208798,0.183849,1.082542,0.447432,0.382414,0.265265,0.217472,0.59844,0.445614,0.410014,0.334789,0.188612,0.689003,0.532135,0.541144,0.251559,0.232897,0.538844,0.356624,0.532103,0.292481,0.329906,3.535572,1.12535,1.80992,1.105488,0.456854,3.451181,1.21934,0.920964,0.575805,0.466824,8.94524,1.17676,0.944519,0.971431,0.80365,10.977797,1.938885,0.879657,1.115637,1.238948
17.061226,0.916709,0.913942,0.521133,0.33338,49.915802,1.286527,0.876985,0.67683,0.500187,5.499683,0.470443,0.425371,0.383461,0.351656,10.267181,0.391713,0.717512,0.728245,0.534617,2.251792,0.311158,0.359626,0.220347,0.35173,0.888568,0.219152,0.274081,0.210028,0.199809,1.182783,0.42774,0.400562,0.291708,0.222302,0.779565,0.377499,0.323629,0.405627,0.195696,0.814332,0.379109,0.447183,0.285751,0.232692,0.604891,0.286813,0.462073,0.375683,0.328567,6.431352,1.035811,1.772611,1.136558,0.495093,6.087794,1.008268,0.743964,0.698357,0.487195,20.247896,1.610998,0.970167,0.977858,0.714226,23.099176,2.198374,0.904522,1.141674,1.1477
28.657818,1.176228,0.857638,0.596908,0.346255,85.120499,2.177486,0.857036,0.72686,0.479701,8.175873,0.48248,0.415982,0.452194,0.372513,16.530796,0.39754,0.798138,0.839684,0.570679,3.179268,0.31408,0.383554,0.247563,0.383694,1.066096,0.191958,0.245703,0.218604,0.215831,1.266615,0.444373,0.440341,0.331934,0.226607,1.006894,0.373938,0.312027,0.461739,0.200012,0.979239,0.317563,0.433246,0.327564,0.235082,0.712645,0.29636,0.457626,0.457724,0.334041,10.087936,0.986626,1.589056,1.205318,0.527332,9.328449,0.85524,0.612858,0.817671,0.496232,35.388695,2.268939,0.97782,0.998017,0.641304,39.32465,2.72015,0.95106,1.144734,1.043072
40.124065,1.495519,0.783417,0.662822,0.355561,120.701485,3.217203,0.804891,0.765926,0.453943,10.581878,0.539546,0.419786,0.511256,0.382002,22.597677,0.497055,0.869634,0.917762,0.600911,4.064899,0.345187,0.416572,0.271302,0.42636,1.208842,0.177047,0.231512,0.232592,0.228689,1.319445,0.483817,0.497463,0.377268,0.228188,1.20031,0.428024,0.350796,0.492559,0.200976,1.119836,0.353194,0.465369,0.364529,0.235512,0.795218,0.374238,0.48152,0.5093,0.341509,13.498435,0.967674,1.303034,1.292082,0.545133,12.283661,0.77622,0.536282,0.902353,0.491992,50.637386,2.966187,0.933086,1.023971,0.603764,55.582092,3.412348,1.003375,1.144966,0.969683
47.973763,1.739129,0.695959,0.704811,0.360005,145.957443,4.052957,0.740535,0.776436,0.431251,11.95011,0.606725,0.42885,0.552421,0.375604,26.633869,0.63539,0.914355,0.934283,0.62571,4.717893,0.390894,0.450594,0.289047,0.471165,1.287818,0.171608,0.233686,0.250158,0.237615,1.340527,0.521646,0.560744,0.418259,0.227759,1.299126,0.506568,0.408548,0.498555,0.201016,1.188548,0.448246,0.508926,0.387673,0.232057,0.821718,0.482202,0.500295,0.514632,0.349629,15.579572,0.963102,0.998118,1.371218,0.547966,14.103987,0.746264,0.515908,0.933866,0.47729,61.415489,3.452252,0.831023,1.033667,0.607299,66.865822,4.048102,1.058315,1.158942,0.957978
49.713623,1.81449,0.614979,0.715229,0.361524,152.974838,4.397086,0.691476,0.759397,0.414664,11.850852,0.653652,0.446929,0.574678,0.355557,27.343018,0.754692,0.93501,0.881619,0.642833,5.099398,0.426693,0.488351,0.298707,0.506726,1.327556,0.183817,0.262524,0.26915,0.244403,1.351735,0.537022,0.624623,0.446862,0.227943,1.308362,0.570996,0.463737,0.487897,0.204253,1.207942,0.548996,0.546978,0.393695,0.226446,0.805704,0.56988,0.495888,0.475033,0.363609,15.836278,0.953601,0.756064,1.419248,0.545227,14.246743,0.729774,0.546642,0.912923,0.458526,64.2089,3.523,0.688986,1.005678,0.636966,69.471794,4.362366,1.114922,1.194744,1.004557
44.777351,1.697533,0.554825,0.693809,0.363483,138.937958,4.125138,0.672689,0.731906,0.403728,10.355214,0.668746,0.478371,0.580806,0.329286,24.492487,0.812944,0.938631,0.776563,0.647802,5.314921,0.441258,0.542697,0.297259,0.52579,1.403814,0.234918,0.326023,0.285597,0.252,1.387238,0.528737,0.68609,0.454853,0.231731,1.293583,0.602402,0.507691,0.469388,0.214439,1.254097,0.618402,0.580588,0.384037,0.222849,0.827217,0.6042,0.468783,0.407427,0.389987,14.203669,0.923271,0.613654,1.414735,0.554008,12.770716,0.709489,0.610584,0.855215,0.444142,58.077641,3.117457,0.53114,0.93161,0.665343,62.436852,4.188337,1.165139,1.242524,1.077705
