POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1.959863,0.275905,1.567943,1.14568,0.710966,15.689553,4.928607,1.270468,1.341079,0.662009,1.319265,0.338645,1.181617,0.860152,0.723601,1.821847,0.349637,1.280077,0.975781,0.807251,0.710211,0.456335,1.273612,0.815973,0.776699,2.622912,0.555472,0.355239,0.558621,0.510939,1.52542,0.676407,0.543886,0.66529,0.546479,1.553309,0.599479,0.543046,0.60111,0.684259,1.834704,0.62185,0.963717,0.759552,0.796978,2.806794,1.085982,1.595244,0.683897,1.057486,2.481349,0.957869,3.564012,1.993622,1.540215,3.017419,0.63315,1.405737,1.263402,1.033067,6.06075,2.433376,2.937625,1.755403,1.094055,1.837014,0.710062,2.192132,1.563052,0.854452
2.60634,0.215273,1.391063,1.078379,0.727003,18.00531,3.83058,1.146427,1.236369,0.714359,1.202823,0.253771,1.117878,0.842217,0.712373,2.198439,0.290621,1.086231,0.968494,0.822217,0.790604,0.373309,1.079856,0.815974,0.776935,2.962893,0.517393,0.359723,0.597886,0.570713,1.633454,0.58369,0.550876,0.691149,0.578848,1.517608,0.430067,0.466948,0.532996,0.676791,1.868056,0.560152,0.851641,0.698953,0.802558,2.639467,0.820847,1.47802,0.661442,1.009114,2.531444,0.800443,3.134452,1.934598,1.589043,2.878469,0.439443,1.312106,1.226892,1.059642,5.719851,2.610914,2.622085,1.687576,1.159258,2.007143,0.591762,1.848757,1.454232,0.880036
3.180356,0.170135,1.135283,1.030504,0.732438,20.25975,2.869819,1.040068,1.162678,0.752292,1.065287,0.211471,1.018887,0.851662,0.718357,2.615618,0.302959,0.914188,0.990694,0.829382,0.943302,0.400031,0.895549,0.914695,0.77456,3.250259,0.53867,0.406566,0.657261,0.662265,1.756026,0.514233,0.602355,0.741955,0.640874,1.38868,0.304758,0.455449,0.513064,0.656869,1.805647,0.538125,0.751637,0.68272,0.801858,2.499193,0.631969,1.298593,0.647383,0.980153,2.448429,0.636146,2.4919,1.885504,1.606013,2.576672,0.32067,1.176474,1.255372,1.101357,5.079316,2.638038,2.191038,1.651704,1.208949,2.174849,0.508317,1.463479,1.369865,0.892762
3.456212,0.146285,0.895835,0.997199,0.738853,20.780766,2.467923,1.046244,1.149979,0.775352,0.96623,0.212766,0.93986,0.872922,0.764882,2.908484,0.407208,0.866645,1.053159,0.863945,1.263203,0.616011,0.822133,1.140188,0.79581,3.365264,0.618852,0.498852,0.72641,0.793578,1.808842,0.486404,0.684765,0.804092,0.748899,1.249274,0.234819,0.493641,0.531529,0.636689,1.736075,0.531507,0.673391,0.718068,0.804272,2.556741,0.531703,1.112637,0.640515,0.982812,2.349866,0.49703,1.816085,1.838096,1.587853,2.290252,0.26337,1.037825,1.308525,1.170051,4.437475,2.444547,1.723737,1.634138,1.23475,2.285921,0.449984,1.163084,1.328445,0.894026
3.431566,0.149185,0.751799,0.970202,0.758843,20.0963,2.808957,1.200808,1.205288,0.786897,0.918748,0.269538,0.92122,0.895138,0.865888,3.09871,0.599013,1.000682,1.17003,0.973376,1.806398,1.050562,0.932169,1.488518,0.875816,3.343356,0.728549,0.630623,0.798115,0.967437,1.804597,0.49122,0.774479,0.863955,0.905624,1.129184,0.209549,0.55221,0.574268,0.627229,1.671566,0.511847,0.62893,0.798393,0.812059,2.894587,0.513439,0.958675,0.646747,1.014208,2.245983,0.402849,1.275248,1.768639,1.54845,2.028434,0.267503,0.930929,1.344674,1.266301,4.010493,2.045059,1.285832,1.615461,1.235917,2.298238,0.410826,1.026175,1.331739,0.891554
3.131598,0.186095,0.727504,0.943336,0.798331,18.221121,3.754506,1.446446,1.306118,0.790069,0.944016,0.39017,0.965355,0.918126,1.010455,3.147571,0.861802,1.286922,1.340839,1.179561,2.553358,1.642387,1.207595,1.907024,1.041599,3.172279,0.832156,0.778291,0.874054,1.170371,1.692705,0.504981,0.841069,0.915434,1.090284,1.053593,0.20995,0.606722,0.629644,0.632152,1.633699,0.46822,0.632223,0.90331,0.8185,3.535496,0.560129,0.844297,0.672058,1.059572,2.195553,0.360414,0.958751,1.666597,1.509264,1.865829,0.342331,0.870196,1.343874,1.374315,3.905293,1.539189,0.921806,1.590208,1.218046,2.209326,0.399756,1.051885,1.366591,0.890665
2.745273,0.254361,0.787464,0.904188,0.849673,16.498131,4.86288,1.686638,1.394506,0.782269,1.036822,0.562077,1.037089,0.934634,1.157645,3.209123,1.153855,1.616771,1.527069,1.451537,3.349678,2.252069,1.560174,2.287515,1.287598,3.010633,0.896431,0.906684,0.944059,1.365423,1.554316,0.499735,0.857771,0.945114,1.258636,1.025231,0.221936,0.640127,0.681252,0.642701,1.613585,0.416092,0.681808,0.99763,0.810108,4.360276,0.651919,0.749542,0.707434,1.101427,2.165743,0.367673,0.851751,1.533458,1.487188,1.818609,0.489629,0.847083,1.294283,1.458953,4.06323,1.077523,0.661856,1.557351,1.188435,2.082417,0.43243,1.163267,1.400825,0.889173
2.478466,0.337687,0.862099,0.844078,0.895033,15.735723,5.612697,1.822994,1.415779,0.759961,1.193201,0.739626,1.082769,0.93308,1.254403,3.338964,1.402838,1.849306,1.671071,1.713299,3.975722,2.700245,1.853662,2.509547,1.567366,2.998775,0.897267,0.975017,0.993427,1.508426,1.426451,0.462577,0.809959,0.941043,1.364053,1.013476,0.235298,0.64773,0.712764,0.642843,1.594904,0.375497,0.757578,1.046878,0.775944,5.097522,0.755071,0.64201,0.733645,1.131465,2.143478,0.414709,0.865985,1.397141,1.49285,1.879676,0.670012,0.835353,1.20031,1.48382,4.327641,0.803938,0.512772,1.523939,1.154652,2.046588,0.511651,1.256175,1.40164,0.885077
2.723788,0.436657,0.884067,0.763131,0.916449,16.038973,5.800145,1.82793,1.34871,0.724902,1.449804,0.866553,1.054263,0.896376,1.262444,3.676173,1.555126,1.886138,1.721878,1.878497,4.235169,2.85647,1.987231,2.49407,1.805685,3.151751,0.824837,0.954291,1.004278,1.569498,1.384654,0.403227,0.705582,0.894388,1.379318,0.998787,0.24897,0.632683,0.709187,0.619704,1.568148,0.355479,0.826361,1.026057,0.714469,5.452747,0.839917,0.507504,0.726636,1.147452,2.254973,0.497502,0.915838,1.292943,1.522717,2.139187,0.817653,0.804396,1.071146,1.430226,5.093619,0.83003,0.462382,1.491341,1.121445,2.583006,0.639776,1.251199,1.352977,0.885095
3.958595,0.595768,0.841953,0.680287,0.909247,17.900478,5.53834,1.748119,1.23035,0.695633,1.935247,0.913093,0.948198,0.818708,1.180034,4.373669,1.618317,1.73757,1.664936,1.898332,4.075593,2.693681,1.929055,2.251292,1.928419,3.452793,0.697999,0.842582,0.964754,1.545284,1.463433,0.348349,0.572327,0.806184,1.310383,0.986619,0.267434,0.615017,0.666085,0.574087,1.562714,0.352742,0.866937,0.934196,0.638254,5.256223,0.886776,0.371485,0.676411,1.147935,2.680868,0.626436,0.996655,1.260165,1.566261,2.741176,0.890466,0.759679,0.926173,1.312406,7.117801,1.233885,0.504359,1.462573,1.098295,4.447466,0.856137,1.170053,1.276628,0.911361
