POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
5.311646,1.585923,0.672938,0.601425,0.507125,13.174143,1.875097,0.845264,0.700705,0.666645,4.393463,1.57029,0.614391,0.355816,0.394094,10.642928,2.136703,0.35919,0.687907,0.56433,5.468124,1.241231,0.59168,0.936144,1.068208,5.864906,1.351482,0.473989,0.4776,0.278597,3.784434,1.675372,0.667639,0.269791,0.369468,4.498241,2.055562,0.883583,0.30401,0.344632,5.490358,2.222545,0.676868,0.501395,0.625552,6.181384,2.926251,0.915904,1.458312,1.577658,8.354856,3.620821,1.819542,2.088801,0.9765,7.615252,3.111411,1.463016,0.405514,0.658017,7.775062,2.825065,1.022079,0.890458,1.261064,6.564332,2.954199,0.976119,0.738112,1.911869
5.213588,1.406569,0.716404,0.563128,0.587165,13.765433,1.518449,0.967037,0.869504,0.757891,4.419473,1.398187,0.638934,0.405461,0.4559,9.820311,1.699722,0.319788,0.779031,0.518901,4.91083,1.004198,0.732703,1.066159,1.179613,5.532875,1.205237,0.490652,0.525151,0.323287,3.6826,1.456367,0.6144,0.302604,0.416468,4.56707,1.672778,0.909104,0.353985,0.395328,5.674918,1.879452,0.7125,0.574064,0.708,5.724345,2.41611,1.030613,1.489291,1.770124,8.440907,3.119792,1.991144,1.925491,0.984922,7.997095,2.753403,1.412015,0.458058,0.70854,7.899942,2.436552,1.11404,1.053187,1.329163,6.34206,2.69782,1.076543,0.803322,2.042881
5.073284,1.115252,0.811511,0.555637,0.682048,14.362415,1.321552,1.096283,1.035747,0.885127,4.350107,1.135376,0.702733,0.493308,0.527186,8.787277,1.301313,0.364345,0.85741,0.527408,4.468069,0.790823,0.92587,1.18713,1.335718,5.391226,1.053202,0.509193,0.559168,0.388305,3.676273,1.242974,0.59266,0.356463,0.468844,4.657052,1.261951,0.92038,0.424067,0.451597,5.771029,1.464486,0.755735,0.660714,0.783707,4.993119,1.831109,1.147174,1.458892,1.968058,8.239704,2.395834,2.061157,1.750693,1.048659,8.203581,2.220903,1.445983,0.547939,0.782004,7.898457,1.946282,1.143535,1.209704,1.434143,6.342862,2.254956,1.223639,0.907671,2.123228
5.781117,1.040857,1.038665,0.581408,0.766613,15.392951,1.423473,1.269878,1.164715,1.032001,4.672971,1.031615,0.87039,0.624504,0.598935,8.060784,1.193256,0.547094,0.919482,0.590095,4.616888,0.822748,1.187707,1.292613,1.51416,5.769145,1.136602,0.577354,0.588139,0.470158,4.277419,1.311209,0.628829,0.453921,0.517179,5.280771,1.04335,0.96553,0.525007,0.500887,6.314481,1.201708,0.835271,0.776324,0.843569,4.765248,1.388512,1.3046,1.417771,2.127855,8.938663,1.851303,2.100522,1.650521,1.142603,9.191401,1.933762,1.668805,0.690899,0.865021,9.037332,1.733862,1.174175,1.385049,1.533157,7.437363,2.061955,1.464106,1.054246,2.117456
10.458166,1.388725,1.437153,0.639546,0.823133,21.61095,2.03668,1.569258,1.237904,1.177431,6.857474,1.269849,1.171889,0.790701,0.664537,9.188539,1.524486,0.876493,0.976483,0.699179,6.03311,1.242908,1.519511,1.394672,1.67051,7.778126,1.624977,0.73783,0.630022,0.566812,6.493249,1.844132,0.732221,0.611627,0.559343,7.390746,1.173766,1.077812,0.660469,0.537035,8.606467,1.253355,0.953663,0.932066,0.882712,6.472497,1.261798,1.526948,1.42916,2.215497,13.985448,1.80322,2.200948,1.698791,1.251538,13.524803,2.212897,2.125492,0.894308,0.947056,17.680916,2.129332,1.313393,1.639585,1.602482,13.745538,2.393254,1.828092,1.251838,2.041131
21.536594,2.233698,1.963985,0.730816,0.846014,38.861404,3.103075,2.081917,1.251637,1.298211,11.076591,1.905283,1.567983,0.967581,0.719257,13.472718,2.242631,1.301466,1.040632,0.835525,8.794182,2.028472,1.871362,1.507064,1.754421,11.177108,2.510374,0.994352,0.697536,0.679877,10.240052,2.835372,0.8813,0.820141,0.602464,10.985092,1.706312,1.244333,0.817464,0.563336,12.91328,1.686422,1.078977,1.122685,0.902137,11.457681,1.563027,1.783962,1.535479,2.215279,25.700413,2.481044,2.402592,1.924391,1.380299,22.074984,3.187797,2.736926,1.146589,1.020401,41.145367,3.422841,1.645018,2.02213,1.646319,28.501987,3.373466,2.283657,1.511178,1.941249
40.2388,3.354158,2.489602,0.849081,0.84396,68.999992,4.40699,2.812868,1.21341,1.372117,17.735205,2.748132,1.946779,1.11638,0.762572,21.033152,3.110502,1.724414,1.110304,0.971233,12.219983,2.961414,2.160073,1.620207,1.73217,15.926852,3.541394,1.291482,0.785381,0.811633,15.513179,4.01551,1.028711,1.038182,0.658661,16.34384,2.486835,1.402267,0.964771,0.590814,19.907305,2.357061,1.158354,1.318846,0.907436,20.297861,2.179517,2.002242,1.726893,2.133271,46.382153,3.704838,2.647262,2.271721,1.555612,35.194942,4.562207,3.304687,1.408418,1.083729,84.352013,5.454998,2.167114,2.511312,1.682598,52.896378,4.713789,2.716895,1.820901,1.861077
63.010872,4.332479,2.851603,0.972485,0.834783,108.54377,5.588386,3.6531,1.142136,1.38818,25.075384,3.465213,2.176008,1.195318,0.79769,30.215506,3.795279,2.039752,1.170153,1.077563,15.605203,3.702854,2.306832,1.704892,1.606579,20.801315,4.32786,1.531276,0.867774,0.95702,20.727007,4.959036,1.116119,1.205457,0.735214,21.716829,3.222262,1.466699,1.060754,0.63084,27.690287,2.994385,1.145469,1.47212,0.906342,31.789454,2.849303,2.096978,1.951747,1.998389,71.727493,4.99988,2.822123,2.614996,1.810715,49.854229,5.776153,3.602726,1.61751,1.140836,144.211197,7.651273,2.757155,2.999675,1.730899,84.095978,5.876463,2.980569,2.127818,1.815143
83.547806,4.777068,2.925508,1.07091,0.838247,145.88588,6.284263,4.374447,1.065459,1.357445,30.872194,3.752494,2.167565,1.17879,0.830313,38.033108,4.030879,2.174026,1.204699,1.138611,17.168074,3.955223,2.256051,1.724908,1.417212,24.229488,4.530859,1.623475,0.909991,1.101427,24.492931,5.270045,1.102011,1.26887,0.829625,26.010975,3.600339,1.383386,1.072327,0.688736,34.520573,3.308663,1.029837,1.535457,0.907543,42.585621,3.261009,2.017409,2.145079,1.852016,95.911072,5.820956,2.818896,2.824276,2.152217,61.619923,6.292569,3.492198,1.713084,1.197964,203.825775,9.253436,3.213042,3.336668,1.801537,111.592674,6.333233,2.966642,2.350736,1.79239
95.921509,4.531554,2.692694,1.121962,0.869084,170.282471,6.303242,4.746973,1.018073,1.31206,33.842995,3.506614,1.921469,1.071447,0.865353,41.678417,3.746035,2.10925,1.207101,1.15748,16.838905,3.635379,2.012634,1.655511,1.22086,25.231836,4.075879,1.52603,0.888302,1.223514,25.368557,4.821379,0.978409,1.209314,0.929765,27.387589,3.474733,1.159209,0.993309,0.759637,38.009537,3.17457,0.842475,1.485094,0.91745,49.727749,3.241622,1.775944,2.245195,1.728966,111.506683,5.844797,2.596325,2.821802,2.538402,67.383301,5.892973,2.994073,1.664983,1.260414,249.299698,9.686374,3.354558,3.40026,1.890836,130.343231,5.883501,2.683928,2.42288,1.778156
