POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
6.734347,2.6976,4.316204,12.017454,10.363549,549.675659,120.875648,7.420807,8.868217,10.104237,5.378802,3.367035,5.488965,16.535955,13.369295,56.197762,12.610593,22.882011,84.855415,53.681599,41.539772,9.977144,17.283899,18.261974,19.237766,13.133582,4.460353,10.324421,13.579045,14.474881,8.013882,1.723916,6.390084,8.462143,8.781654,4.624662,1.816518,3.532995,3.83519,4.543049,9.526371,3.527575,6.836398,7.573141,9.385226,82.310516,13.54657,10.325014,13.389813,18.688559,40.186192,12.806937,24.185532,21.168127,24.02384,7.707007,3.318853,7.838376,13.802368,13.802396,119.748596,16.479225,14.946354,9.37511,6.60429,12.146302,2.920658,5.235679,8.315546,8.83533
6.124743,2.717447,2.631011,12.58967,8.211458,545.073303,127.853264,7.327451,8.573853,8.825453,4.953595,3.447299,3.970971,17.326054,11.105669,63.434513,14.530641,16.168272,92.552071,41.124115,30.776863,11.141376,18.289469,16.135437,21.691044,13.540437,5.226103,10.432897,14.230494,14.64481,7.550165,1.79479,6.335137,8.841352,8.236316,4.289656,1.312527,2.830747,3.80371,3.730695,6.460558,2.682302,5.645702,7.147288,7.348933,42.913868,6.180495,7.630301,7.456918,15.643115,27.0786,11.015926,11.831053,20.808891,18.328693,6.98451,2.992124,5.256104,14.137938,11.393703,91.190979,13.292366,10.748195,9.275302,6.12404,9.842076,2.914686,3.137838,8.546122,7.098166
7.573989,2.734044,1.592927,12.68619,6.70375,523.868042,129.194366,7.272727,8.314627,8.419298,4.75828,3.401763,2.989831,17.358059,9.402469,72.912102,16.34557,12.635327,95.468285,33.055317,23.357021,11.861976,18.707314,15.272488,22.155991,13.22189,5.872312,10.32698,14.342007,14.061948,6.984806,1.880407,6.048448,8.845881,7.501396,4.395481,0.976973,2.395019,3.724951,3.110394,5.186516,2.137296,4.887101,6.835469,5.951925,20.006611,2.207946,5.988835,4.205299,13.942087,17.63279,9.339407,5.071367,20.745941,14.668141,6.63095,2.818257,3.690842,14.015465,9.576318,70.755684,11.583041,8.306594,9.165145,5.750951,11.351139,2.930371,1.901663,8.579535,5.906334
11.170403,2.714336,1.09666,11.665424,5.588444,483.951263,118.503189,7.000581,7.566015,8.016394,4.538423,3.198667,2.386397,15.804566,7.927662,83.46817,17.451921,11.497413,88.7714,27.741024,19.214855,11.761822,17.428909,14.465363,20.105904,12.237922,6.216379,9.514684,13.22043,12.403218,6.370191,1.928504,5.359388,8.078123,6.430913,4.649594,0.79783,2.144038,3.426225,2.595428,5.121193,1.811139,4.394512,6.27844,4.947093,11.632487,0.943044,5.003313,3.009937,12.548182,12.75793,7.842521,2.61458,19.567226,12.255479,6.464187,2.673683,2.92982,12.766313,8.044394,60.937725,10.573263,6.934654,8.50788,5.279272,17.161659,2.924948,1.374064,7.950387,5.043238
15.928041,2.593754,0.881842,9.441309,4.485223,405.43692,95.320343,6.403672,6.136949,6.95706,4.200529,2.846641,1.939946,12.635915,6.289049,91.5373,17.28413,11.268817,72.133728,22.581846,17.325491,10.714236,14.409156,12.73043,15.991237,10.543427,6.106217,7.963673,10.801609,9.775084,5.703013,1.908937,4.320559,6.527306,5.007608,4.70204,0.724189,1.955196,2.856963,2.072635,5.273987,1.584879,3.936816,5.289078,3.987756,10.703809,0.87926,4.141216,2.674694,10.544403,11.487216,6.522617,2.072259,16.521471,9.978549,6.360085,2.443485,2.532216,10.301888,6.409472,59.909809,9.232907,5.665499,7.073668,4.530446,25.503922,2.819316,1.191164,6.550078,4.181193
20.255867,2.309905,0.751996,6.569325,3.248093,315.945343,65.077888,5.444431,4.340025,5.26212,3.704422,2.388797,1.533892,8.668677,4.435388,93.032349,15.601427,10.782128,50.02021,16.389462,15.908266,8.925147,10.466362,10.0106,11.070828,8.513431,5.484022,6.006827,7.689285,6.749457,4.941741,1.812016,3.153022,4.589363,3.441025,4.351581,0.706915,1.754051,2.133954,1.524064,4.927395,1.376664,3.378946,3.996711,2.952352,10.926292,0.967253,3.161097,2.349937,7.866628,11.911015,5.423686,1.962756,12.069648,7.381727,6.144235,2.086863,2.192721,7.204478,4.603967,61.480869,7.117737,4.062757,5.129771,3.522712,33.166019,2.540809,1.082618,4.709383,3.189128
22.578106,1.866533,0.647388,3.866772,2.080817,211.30452,36.600899,4.217456,2.683339,3.422361,3.169696,1.871526,1.180021,5.021543,2.73186,85.533669,12.586123,9.54721,28.755123,10.140367,14.406532,6.816296,6.700135,7.042653,6.737789,6.120194,4.426522,4.10027,4.760273,4.090208,3.978168,1.635698,2.115474,2.800266,2.092963,3.657691,0.701226,1.5387,1.448559,1.047602,4.108284,1.144842,2.740762,2.736199,2.015497,9.848404,1.06211,2.252046,1.899895,5.191177,12.416009,4.534868,2.043392,7.48172,4.864652,5.781923,1.632117,1.84662,4.322531,2.963004,59.923775,4.845064,2.479461,3.217371,2.484395,37.054214,2.097386,0.970673,2.944058,2.228799
21.865015,1.348147,0.568177,1.938594,1.22351,133.416138,16.91198,3.018879,1.524326,1.915407,2.765771,1.374992,0.918689,2.482629,1.525943,70.305145,8.990133,7.584463,13.178694,5.284281,12.131207,4.876829,3.872637,4.515762,3.819396,4.321658,3.167026,2.609448,2.619174,2.283489,3.179969,1.405654,1.368018,1.510759,1.200989,2.993775,0.689456,1.326204,0.946383,0.725165,3.314855,0.916172,2.113048,1.787417,1.343966,7.907421,1.161463,1.595466,1.42127,3.14382,12.43726,3.87317,2.167643,3.89286,2.941736,5.371529,1.192331,1.520779,2.275632,1.799958,58.335545,2.924578,1.28419,1.766316,1.655887,35.898239,1.551462,0.853807,1.644693,1.498254
18.781832,0.873584,0.509088,0.931471,0.761632,85.04686,7.166313,1.985614,0.933048,0.984178,2.489987,0.961346,0.753867,1.209915,0.918438,51.103954,5.649144,5.299809,4.700898,2.540635,9.890944,3.356995,2.170959,2.766648,2.374224,3.02105,1.975777,1.633241,1.386233,1.37807,2.413405,1.150602,0.91198,0.779648,0.778021,2.358765,0.65567,1.117287,0.667285,0.570793,2.617439,0.726563,1.551733,1.236597,0.986821,5.475665,1.248117,1.232481,1.016942,1.954187,11.774425,3.31979,2.197884,1.769996,1.805212,4.809849,0.850003,1.237167,1.196741,1.190578,49.021141,1.623959,0.564679,0.917469,1.139748,30.458519,1.020263,0.732999,0.919959,1.073586
14.068181,0.551933,0.479464,0.793538,0.802697,56.452946,4.317861,1.366898,0.765934,0.677482,2.516464,0.658188,0.681402,1.113929,1.028698,33.389339,3.275957,3.379085,2.156188,2.635715,7.438249,2.356341,1.399479,2.052304,2.053912,2.228131,1.06397,1.103372,1.176214,1.302166,1.871323,0.887776,0.677687,0.674351,0.808568,2.043031,0.579519,0.917003,0.677351,0.638579,2.365913,0.591182,1.108407,1.237868,1.109544,3.47069,1.480311,1.125046,0.841685,1.644089,10.460276,2.705372,2.087902,1.238228,1.702581,4.270933,0.617676,1.047898,1.076112,1.246765,35.394878,0.922576,0.289401,0.608965,0.938553,22.345524,0.625625,0.628006,0.799467,1.056067
