POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
43.93792,1.350065,0.39753,0.391683,0.250447,111.799866,2.8878,0.757381,0.530886,0.259891,9.046296,0.972828,0.245542,0.198082,0.198304,20.724232,2.064041,0.719842,0.503751,0.395165,1.482033,0.57688,0.368339,0.146897,0.148622,1.092026,0.569916,0.160147,0.170961,0.168406,0.901977,0.655665,0.526466,0.182189,0.218427,0.949403,0.700856,0.220178,0.19163,0.135529,1.141112,0.553192,0.286783,0.336897,0.160445,1.96967,0.720726,1.098502,0.529151,0.454777,20.515846,1.789649,0.282155,0.531164,0.369609,12.988757,1.607736,0.415052,0.412207,0.19519,118.041183,6.222532,1.117392,1.016441,0.43228,68.435623,2.288615,0.589225,0.699207,0.423073
53.386013,1.66897,0.454258,0.370028,0.276032,138.218796,3.780412,0.785375,0.477517,0.25421,11.033747,0.888575,0.249447,0.206567,0.188441,23.998106,1.650391,0.599631,0.439033,0.361398,1.819273,0.516553,0.397165,0.157104,0.149123,1.190849,0.48221,0.169012,0.163698,0.163446,0.979176,0.569766,0.537583,0.189108,0.198933,1.215334,0.521186,0.243737,0.185326,0.132529,1.5083,0.377914,0.26236,0.333776,0.168517,2.552912,0.548757,1.046249,0.583749,0.423721,24.923756,1.80969,0.367314,0.525928,0.347159,15.975128,1.434739,0.503992,0.385858,0.200243,141.682571,7.427176,1.189581,0.993769,0.404062,82.537102,2.857487,0.666924,0.632775,0.430097
59.396866,1.899254,0.502302,0.320624,0.291369,152.157776,4.440979,0.832642,0.422357,0.234073,12.34942,0.822987,0.253606,0.200473,0.183881,25.936937,1.349174,0.558621,0.375877,0.325683,2.038969,0.42821,0.384221,0.166463,0.147039,1.290734,0.387096,0.181474,0.149223,0.153729,1.079385,0.498918,0.496187,0.190875,0.173112,1.535248,0.429216,0.286496,0.176718,0.12649,1.942352,0.258344,0.271627,0.317131,0.182797,3.15323,0.491761,0.973562,0.657514,0.403449,27.852871,1.849455,0.453056,0.501194,0.328659,18.036053,1.298046,0.576893,0.343122,0.217381,154.053802,8.225692,1.264555,0.905438,0.350647,91.144073,3.281084,0.751526,0.522416,0.422521
57.751236,1.877969,0.512478,0.260664,0.293404,146.577408,4.483468,0.81498,0.365448,0.201999,12.313662,0.744219,0.245249,0.184482,0.184515,24.723011,1.139467,0.52791,0.326684,0.285285,2.066676,0.336186,0.330524,0.170381,0.138097,1.374741,0.30673,0.197717,0.131037,0.140286,1.198843,0.446416,0.419026,0.187082,0.14359,1.830249,0.408007,0.348331,0.174483,0.117302,2.331566,0.20746,0.325067,0.297317,0.195411,3.534917,0.45639,0.887534,0.731681,0.377153,27.519815,1.748923,0.523,0.475663,0.31553,18.100346,1.146371,0.612233,0.305253,0.244292,147.328766,7.88142,1.304285,0.789025,0.288655,87.902542,3.254437,0.805326,0.412516,0.406591
48.063652,1.674137,0.493335,0.209811,0.282986,118.493286,3.946589,0.716503,0.31815,0.167245,10.874706,0.651381,0.227281,0.16656,0.188149,20.346676,0.991048,0.481818,0.297322,0.244003,1.83329,0.256175,0.252122,0.170338,0.125471,1.414345,0.251684,0.214387,0.113364,0.126094,1.316211,0.409982,0.33564,0.180881,0.11639,2.023995,0.430342,0.424942,0.188895,0.108104,2.555121,0.227252,0.418935,0.289041,0.205764,3.454988,0.431336,0.806018,0.797757,0.345723,23.56196,1.542154,0.579469,0.469349,0.31123,16.048306,0.98356,0.611569,0.290455,0.274298,119.122437,6.639504,1.328683,0.679196,0.237245,72.040947,2.854691,0.833614,0.340315,0.39186
34.634174,1.3753,0.462935,0.181717,0.263532,82.281868,3.022412,0.582468,0.291759,0.139181,8.72901,0.548793,0.210453,0.153358,0.191465,14.634287,0.823804,0.428778,0.290573,0.2078,1.521757,0.194606,0.174298,0.169419,0.114863,1.3726,0.219889,0.226552,0.099936,0.114016,1.391093,0.398498,0.280868,0.175862,0.097201,2.08878,0.473001,0.5087,0.221975,0.101877,2.58163,0.298907,0.534314,0.297074,0.212452,3.13132,0.417961,0.743471,0.841877,0.317485,17.820374,1.281066,0.63016,0.486856,0.316488,12.824268,0.814808,0.590478,0.303196,0.298699,82.750359,4.994651,1.344828,0.594334,0.205975,50.873848,2.224417,0.848636,0.32013,0.384678
22.775322,1.059562,0.429797,0.177502,0.239916,53.794071,2.071265,0.466312,0.289618,0.124154,6.680024,0.440833,0.200804,0.14672,0.192472,9.930322,0.619323,0.381388,0.3045,0.18084,1.167463,0.157828,0.119678,0.168892,0.111985,1.224693,0.206949,0.231226,0.093289,0.105663,1.38148,0.423621,0.273674,0.173739,0.088882,2.001313,0.524716,0.589774,0.265067,0.100675,2.406701,0.394534,0.648494,0.313508,0.213261,2.581349,0.415593,0.700456,0.847782,0.303007,12.520999,1.010283,0.690754,0.514748,0.329631,9.621808,0.649327,0.562362,0.33136,0.312277,51.003952,3.501678,1.33217,0.535584,0.193324,32.567173,1.54845,0.848067,0.339932,0.385492
16.281651,0.858498,0.39944,0.18829,0.217384,42.412109,1.698071,0.408817,0.311237,0.124931,5.329084,0.359515,0.198292,0.143757,0.191007,7.585798,0.458904,0.352172,0.333711,0.166149,0.940846,0.150933,0.098363,0.166829,0.120149,1.030904,0.209553,0.225985,0.093617,0.101723,1.296065,0.498616,0.305198,0.176079,0.090996,1.826121,0.594432,0.653455,0.303512,0.105046,2.17241,0.504784,0.739742,0.325438,0.207018,2.119474,0.441461,0.67663,0.810503,0.311114,9.471833,0.828977,0.776029,0.531828,0.346956,7.301589,0.533226,0.532432,0.355318,0.315347,35.281086,2.766934,1.296031,0.495617,0.192617,23.300823,1.112022,0.829019,0.374452,0.390137
17.170952,0.855709,0.371287,0.202817,0.199755,58.422112,2.280758,0.425411,0.35483,0.140159,5.071375,0.316706,0.200884,0.139581,0.188382,8.860236,0.401572,0.342576,0.370076,0.165717,0.945937,0.171628,0.105001,0.160846,0.139148,0.872363,0.22385,0.210439,0.098944,0.102423,1.16858,0.629017,0.349391,0.183257,0.100621,1.646079,0.684701,0.68124,0.322273,0.114442,1.994133,0.623321,0.790121,0.32122,0.195653,1.823285,0.500847,0.679457,0.735721,0.345127,9.554947,0.80939,0.880659,0.520707,0.363416,6.460215,0.479116,0.504595,0.359066,0.312617,39.643154,3.22265,1.242135,0.466013,0.19924,26.36359,1.103743,0.784994,0.400014,0.392744
25.225664,1.046541,0.343335,0.214711,0.188767,98.340248,3.691147,0.493868,0.416314,0.165968,5.983863,0.30242,0.205337,0.132159,0.1864,13.390449,0.450213,0.337105,0.405556,0.179795,1.261683,0.215956,0.125455,0.150366,0.166208,0.822773,0.248775,0.187394,0.106468,0.107469,1.054815,0.812689,0.382617,0.192809,0.114319,1.563251,0.794752,0.662097,0.315029,0.127563,2.0085,0.743041,0.789667,0.29872,0.184076,1.844132,0.57863,0.719434,0.640763,0.40144,12.705967,0.959147,0.979811,0.481841,0.374493,7.112436,0.46877,0.477174,0.34013,0.310083,62.12698,4.871747,1.198913,0.457702,0.222533,40.697159,1.517465,0.70892,0.408879,0.390817
