POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
29.387636,3.426976,1.960831,0.34024,0.323514,8.325915,3.064886,1.738955,0.384595,0.509242,22.188406,3.365705,2.746069,0.495929,0.189136,5.05971,1.604709,1.148759,0.193726,0.2145,0.672738,0.330525,0.268216,0.233705,0.131962,0.467423,0.249094,0.282876,0.19865,0.19741,1.185619,0.48434,0.306913,0.181805,0.097968,0.804845,0.881637,0.611098,0.11954,0.160032,1.307315,0.921103,0.588062,0.14873,0.12498,59.087273,21.968212,6.711048,4.079543,1.401176,27.098646,3.478989,3.492724,0.796069,0.718478,11.485562,3.067844,1.514406,0.389125,0.304503,8241.878906,2854.007568,1401.583252,518.250244,145.039246,38.148991,3.549098,1.445455,0.347256,0.382393
41.668243,3.511326,2.004436,0.307235,0.31866,7.406294,2.620684,1.686769,0.322201,0.5197,27.630569,3.768521,2.935347,0.529093,0.194791,5.835772,1.572929,1.29147,0.183035,0.214227,0.66358,0.327358,0.250189,0.22022,0.120069,0.490718,0.242661,0.30985,0.188395,0.193663,1.225385,0.490596,0.288767,0.155557,0.107762,0.872436,0.958535,0.573071,0.123913,0.147536,1.59682,1.09913,0.526851,0.126936,0.13542,74.629677,27.368797,8.416568,5.007632,1.698552,37.120014,4.254433,3.98279,0.864286,0.829669,15.577491,3.217585,1.732036,0.383439,0.322189,10778.03906,3790.986328,1835.887573,673.13739,190.827271,56.064606,3.918797,1.632026,0.335246,0.40872
54.816837,3.52351,1.904952,0.274862,0.318688,6.430362,2.145168,1.507924,0.258506,0.527039,31.149633,3.859339,2.859001,0.507374,0.200473,6.75824,1.49166,1.385951,0.169583,0.220352,0.656634,0.325326,0.253087,0.197261,0.114917,0.486301,0.226893,0.337454,0.191014,0.188952,1.192022,0.498772,0.310759,0.136928,0.121569,0.943343,1.001465,0.488756,0.129024,0.137614,1.831003,1.252874,0.449457,0.118352,0.149389,85.646622,31.181248,9.79162,5.597908,1.874736,45.671799,4.791539,4.150702,0.943472,0.914258,19.689363,3.24043,1.856011,0.37861,0.344426,13142.78027,4673.691406,2214.383057,800.471497,229.657578,75.091911,4.193744,1.77664,0.336255,0.439064
63.667068,3.429703,1.716209,0.25575,0.323029,5.444519,1.705023,1.260692,0.215321,0.528197,31.382473,3.54274,2.549488,0.437877,0.206096,7.371119,1.342997,1.407474,0.155892,0.228033,0.639977,0.320704,0.278928,0.175263,0.117982,0.453901,0.206372,0.356374,0.199908,0.187413,1.09577,0.504816,0.370376,0.127191,0.138584,0.967573,0.974144,0.376693,0.135193,0.130159,1.915451,1.312936,0.366998,0.119925,0.164142,91.018272,32.840885,10.610946,5.75299,1.900137,50.343075,5.00259,3.957935,1.023516,0.949889,22.306593,3.102153,1.86194,0.378633,0.370308,15213.92676,5377.337402,2477.939941,880.496643,254.880539,87.771301,4.215604,1.858473,0.355285,0.457481
64.841026,3.18565,1.539766,0.255885,0.329452,4.780474,1.299177,1.017746,0.204731,0.519513,28.015289,2.891383,2.106768,0.346882,0.211428,7.393672,1.124496,1.349136,0.14389,0.233275,0.631853,0.312539,0.316827,0.162517,0.129294,0.41242,0.190905,0.356439,0.206011,0.191806,1.008527,0.513163,0.449031,0.123952,0.156559,0.940606,0.865688,0.269007,0.141658,0.124628,1.842528,1.246338,0.301851,0.126602,0.177695,89.690125,32.123306,10.743767,5.47565,1.786179,49.456604,4.908275,3.471114,1.080831,0.926158,22.340757,2.802321,1.774721,0.382644,0.39809,16511.16797,5753.932129,2574.415527,897.924011,261.191223,89.12516,3.907797,1.903796,0.387399,0.451399
58.151558,2.807156,1.452576,0.272552,0.336045,4.740605,0.983334,0.829921,0.2267,0.499352,22.181265,2.110302,1.64814,0.26818,0.216028,6.846181,0.874447,1.222206,0.1349,0.232744,0.60261,0.30278,0.352402,0.161925,0.14858,0.362893,0.190669,0.333119,0.20264,0.204898,0.947634,0.531061,0.517765,0.121494,0.173308,0.845138,0.697554,0.193212,0.145152,0.119938,1.589706,1.068042,0.273618,0.133037,0.188029,82.75428,29.174202,10.130282,4.841094,1.574217,43.220425,4.579926,2.835933,1.090749,0.849869,19.772264,2.404501,1.648234,0.384945,0.42435,16674.01758,5676.756836,2468.687988,846.304077,246.305069,78.843758,3.316215,1.948405,0.42193,0.419167
46.20359,2.346802,1.476024,0.296085,0.342719,5.285169,0.829069,0.717647,0.278681,0.471038,15.659882,1.426039,1.268599,0.225272,0.219009,5.749045,0.654123,1.058447,0.132146,0.225067,0.582939,0.291383,0.375814,0.170115,0.175729,0.339698,0.212938,0.28894,0.18848,0.229954,0.981723,0.568229,0.551077,0.116599,0.188021,0.740752,0.509801,0.156469,0.142218,0.114964,1.280791,0.826358,0.283474,0.135326,0.193655,71.123024,24.458267,8.846254,3.969773,1.315792,33.618988,4.119828,2.201561,1.035616,0.742203,15.748107,1.974102,1.535979,0.379583,0.444334,15394.75293,5102.505371,2163.541992,731.143738,212.067184,61.109177,2.581324,2.015648,0.446508,0.371636
32.559822,1.894167,1.562103,0.316511,0.35106,6.332804,0.865992,0.672751,0.362146,0.442571,10.166767,0.979427,0.995866,0.222326,0.218752,4.473475,0.516953,0.895949,0.14201,0.211939,0.56436,0.272661,0.381547,0.179417,0.209246,0.363915,0.256426,0.235259,0.168882,0.268031,1.121139,0.620008,0.534831,0.113282,0.200082,0.6803,0.346114,0.154473,0.132103,0.109454,1.020922,0.57829,0.314637,0.13311,0.19485,56.694595,18.6896,7.070402,2.993668,1.055684,23.410278,3.558849,1.679529,0.915714,0.629344,11.632648,1.588781,1.466262,0.3648,0.452682,12743.5,4106.292969,1704.903076,570.34082,164.409271,41.547077,1.894309,2.080777,0.452407,0.326549
20.876173,1.510035,1.632259,0.328136,0.361451,8.016181,1.086348,0.675168,0.479266,0.421811,6.526185,0.789782,0.807116,0.244817,0.212959,3.456932,0.477315,0.764393,0.17042,0.196693,0.621193,0.249329,0.373293,0.182836,0.244541,0.484714,0.322485,0.190923,0.152326,0.314713,1.381459,0.68212,0.471797,0.118446,0.207926,0.746693,0.240297,0.17356,0.117531,0.104099,0.974311,0.376191,0.340644,0.129373,0.193904,41.329895,12.723008,5.10116,2.040377,0.823468,14.855438,2.921118,1.303991,0.75106,0.531719,8.480567,1.283769,1.425408,0.343477,0.445067,9202.811523,2879.807373,1176.311035,391.227722,112.013741,25.319902,1.37764,2.09417,0.436566,0.298739
12.800193,1.244044,1.61343,0.328754,0.371004,10.291698,1.43271,0.697357,0.618779,0.409457,4.787782,0.790923,0.656953,0.270636,0.199866,3.032085,0.522266,0.67184,0.217511,0.181889,0.78172,0.234789,0.360852,0.17924,0.275665,0.715913,0.415754,0.171054,0.144725,0.359017,1.744332,0.746787,0.378111,0.136092,0.208965,0.968745,0.2052,0.200778,0.102886,0.099685,1.206872,0.248497,0.340658,0.128531,0.193806,26.685165,7.405151,3.250614,1.22304,0.634052,9.339388,2.249209,1.057991,0.57741,0.458082,6.745195,1.084817,1.37487,0.318029,0.419523,5524.230957,1678.101074,677.108948,224.68045,64.146095,14.707074,1.063377,2.003894,0.400991,0.291591
