POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
6.347139,0.81862,1.725712,1.41872,1.626898,21.849087,2.260103,2.185021,1.603341,2.341933,3.308362,1.194685,1.502824,1.023449,1.381069,10.434003,1.426355,1.497838,1.901272,3.415445,248.704834,65.121849,48.91449,15.958456,33.1549,0.473653,0.146761,0.214131,0.238325,0.937073,40.822281,7.739677,2.338909,1.370707,2.02702,0.342256,0.201603,0.455709,0.23348,0.543601,0.851066,1.047618,0.660746,0.704983,1.319869,2.936716,2.44927,1.954472,3.526322,12.417276,2.665585,3.103087,2.077289,1.618385,2.045192,4.013288,1.729886,1.848902,1.193038,1.86135,8.495211,5.552555,2.351135,1.824673,2.765032,3.538102,1.280539,2.258224,1.445335,2.017083
5.463864,0.879004,1.767547,1.45462,1.521794,21.997169,2.691439,2.277368,1.475287,2.487077,3.156926,1.23164,1.492578,1.060986,1.271789,9.374689,1.221255,1.617804,1.95048,3.454561,234.466309,60.600166,46.535511,13.890073,30.697706,0.393391,0.115712,0.20506,0.242486,0.90697,44.534607,8.200297,2.496228,1.384504,2.012865,0.234711,0.17849,0.461467,0.242325,0.512578,0.65976,0.933236,0.646532,0.701239,1.10308,3.126232,2.19348,1.932009,3.570613,11.039406,3.095146,2.791632,2.165221,1.734489,1.74412,3.557356,1.470504,1.895378,1.191689,1.681706,8.306672,4.712494,2.42854,1.934084,2.371769,3.065884,1.087459,2.287352,1.429341,1.781747
4.348994,0.96098,1.670947,1.497762,1.484563,20.166666,3.285997,2.351097,1.336285,2.589113,2.881282,1.320005,1.380453,1.070928,1.212919,7.682569,1.162357,1.674112,1.92858,3.519151,196.121964,49.441326,39.705956,12.211879,29.554348,0.33546,0.106615,0.216371,0.242722,0.857713,41.88578,7.588492,2.370977,1.292212,1.943627,0.182923,0.180007,0.441067,0.253452,0.48334,0.587262,0.833628,0.621633,0.679778,0.923054,3.401504,1.914841,1.833126,3.51318,10.267136,3.983042,2.553222,2.145339,1.795549,1.502621,3.206291,1.232501,1.764483,1.170342,1.541933,9.690103,4.431428,2.570314,1.992806,2.067971,2.580749,0.948115,2.123461,1.400331,1.631647
3.34665,1.082058,1.462249,1.558659,1.522946,17.865515,4.015311,2.485582,1.243894,2.636347,2.428347,1.465333,1.174772,1.065291,1.221127,5.977681,1.27823,1.642555,1.866616,3.602504,144.826004,35.122219,30.809019,11.618863,29.852934,0.291905,0.110546,0.24274,0.238855,0.806446,33.661316,6.097694,2.032778,1.127887,1.841895,0.183752,0.214565,0.406669,0.266059,0.464637,0.610552,0.793962,0.585464,0.6404,0.810938,3.699355,1.743654,1.633632,3.401397,10.290833,5.200688,2.558417,2.0433,1.773117,1.37369,3.034154,1.128737,1.495726,1.136291,1.471374,12.48818,4.832362,2.743389,1.968833,1.908002,2.250895,0.943374,1.812031,1.36864,1.594748
2.64991,1.226361,1.205867,1.619132,1.610885,16.069689,4.743855,2.71507,1.230757,2.625165,1.95661,1.635489,0.93094,1.04998,1.286664,4.491127,1.518925,1.52561,1.796008,3.685766,92.686172,21.492435,22.290199,12.252179,30.969919,0.238879,0.117036,0.271411,0.232615,0.767158,22.794216,4.206015,1.615176,0.949952,1.740469,0.217522,0.2704,0.368417,0.276651,0.459326,0.668681,0.809251,0.540069,0.584209,0.763752,3.911188,1.713393,1.380349,3.252941,10.869647,6.340191,2.829106,1.921242,1.654442,1.377185,3.020792,1.185334,1.174979,1.083976,1.472711,14.877166,5.719173,2.891726,1.851493,1.903084,2.101467,1.082185,1.446509,1.328716,1.652406
2.458292,1.355243,0.969488,1.642823,1.707648,15.703827,5.284079,2.968337,1.294848,2.565003,1.564117,1.774412,0.712812,1.023582,1.382051,3.457649,1.783832,1.346283,1.735103,3.752338,50.367027,11.269608,15.689712,13.590049,32.104115,0.189328,0.116767,0.288228,0.227668,0.747321,12.633879,2.444704,1.250268,0.812845,1.674619,0.263349,0.321429,0.331164,0.280868,0.467152,0.685616,0.83284,0.492619,0.517374,0.758447,3.878459,1.760887,1.141523,3.048317,11.524748,7.098439,3.240556,1.838698,1.456769,1.495207,3.124546,1.347696,0.896033,1.004937,1.52773,16.067085,6.667023,2.964947,1.661268,2.023758,2.336977,1.308639,1.132889,1.26883,1.755126
2.641362,1.440121,0.789183,1.593736,1.782258,16.396027,5.467487,3.104567,1.40594,2.477464,1.313055,1.856443,0.557545,0.977458,1.477687,2.833498,1.980808,1.130193,1.679755,3.790159,21.883347,5.186797,11.304192,14.698248,32.749657,0.152063,0.106604,0.284617,0.227789,0.746371,5.485765,1.182623,1.013546,0.742408,1.667711,0.305744,0.34376,0.293366,0.27649,0.487424,0.641192,0.816565,0.445376,0.452179,0.772241,3.598119,1.779993,0.962488,2.760795,11.868876,7.392542,3.588182,1.816514,1.231866,1.68895,3.265642,1.52776,0.713506,0.89832,1.612077,15.532583,7.245489,2.938825,1.451365,2.228103,2.859467,1.548588,0.935108,1.184989,1.852762
2.879723,1.475052,0.665035,1.45552,1.817572,17.280777,5.239602,2.998558,1.518867,2.385321,1.187356,1.901913,0.466758,0.903728,1.546038,2.502135,2.05478,0.904381,1.609939,3.778573,7.348995,2.371288,8.509306,14.948946,32.765121,0.13417,0.089745,0.259459,0.234947,0.75414,1.988018,0.51792,0.898928,0.727932,1.711088,0.347314,0.327013,0.252155,0.265869,0.51687,0.55704,0.744503,0.398062,0.403705,0.791262,3.168536,1.692276,0.858575,2.401523,11.825751,7.367177,3.703395,1.821594,1.041321,1.906234,3.372211,1.661408,0.626314,0.777903,1.696795,14.07821,7.195694,2.806861,1.276043,2.464677,3.530554,1.740822,0.856368,1.085645,1.906721
2.93383,1.468715,0.57865,1.240528,1.806514,17.21913,4.660373,2.609693,1.582778,2.30974,1.132536,1.947241,0.425709,0.80318,1.565265,2.559296,2.026814,0.708537,1.50385,3.695522,2.252596,1.281047,6.640432,14.316554,32.23922,0.144037,0.074538,0.220038,0.24698,0.756727,0.968134,0.290995,0.845334,0.737417,1.765106,0.379751,0.280802,0.211615,0.253425,0.547158,0.454035,0.638219,0.361139,0.380739,0.810617,2.65867,1.494918,0.833702,2.004905,11.603247,7.105843,3.517606,1.814511,0.922786,2.089462,3.360671,1.72747,0.604433,0.663586,1.751606,11.962345,6.493697,2.611567,1.166772,2.675076,4.145482,1.845628,0.864311,0.984837,1.895942
2.665335,1.439121,0.518138,0.987278,1.752908,15.656169,3.929986,2.036301,1.560663,2.262287,1.081843,2.001297,0.416854,0.684713,1.526456,3.256134,1.978684,0.599924,1.355578,3.536214,1.867567,1.043125,5.572077,13.154449,31.322813,0.166623,0.074296,0.177623,0.260097,0.744117,0.920142,0.266315,0.786118,0.740218,1.783638,0.401749,0.226314,0.181442,0.241534,0.566966,0.370766,0.531723,0.349828,0.378095,0.829029,2.247646,1.253486,0.881145,1.619321,11.474678,6.793747,3.067613,1.769285,0.870209,2.194351,3.215222,1.731614,0.614721,0.569051,1.756566,10.188396,5.339008,2.409285,1.11461,2.81202,4.48413,1.852079,0.922011,0.893279,1.822019
