POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
9.748906,2.520944,3.381425,0.733891,0.303128,25.190308,5.055972,4.949795,0.979719,0.371704,7.198202,2.564795,2.851371,0.848698,0.290093,7.370565,3.419651,3.59606,0.903683,0.326601,7.230421,1.91986,2.869738,0.966529,1.335691,39.257366,9.055221,3.219273,1.133028,0.391937,7.419794,2.459597,2.410974,0.713804,0.238248,6.722464,2.614122,1.981891,0.576134,0.207472,8.684579,2.72219,2.444629,0.725122,0.265708,9.386847,3.035005,2.473939,0.708477,0.395451,13.516733,4.022375,3.985418,1.015929,0.363915,13.005199,4.677157,4.667392,1.255874,0.406694,27.906635,6.662127,7.435289,1.255826,0.368068,10.272046,3.588173,3.176309,1.076151,0.320461
10.646421,2.759109,3.722819,0.736747,0.341234,29.121174,5.733519,6.411706,0.770346,0.393297,8.22174,2.875548,3.250688,0.842691,0.318843,8.678325,4.255551,4.484749,0.86553,0.338523,8.249136,2.22385,3.259302,0.970996,1.502758,35.318203,8.318998,3.741907,1.040025,0.381372,8.355919,2.59734,2.849999,0.573647,0.266952,7.552743,2.815353,2.076403,0.499872,0.221511,9.585222,3.09119,2.899235,0.624197,0.267579,10.495987,3.417912,2.990768,0.717278,0.438938,14.846228,4.558393,4.51651,0.941561,0.403444,14.821964,5.42059,5.195966,1.202338,0.457454,23.684019,5.868011,7.976165,1.182737,0.429557,11.667909,4.119644,3.525645,1.018042,0.366335
11.276041,3.113533,4.287655,0.770063,0.372282,31.569239,6.674831,8.177786,0.635731,0.415898,9.449594,3.309953,3.840515,0.842474,0.346911,10.27955,5.181273,5.540556,0.870636,0.353302,9.2007,2.572623,3.805631,1.083529,1.677353,29.07078,7.000755,4.226822,0.920117,0.351588,9.127471,2.916736,3.338845,0.466206,0.296558,8.404566,2.956034,2.165093,0.434938,0.23373,10.838597,3.495518,3.442711,0.541,0.267497,12.120327,3.871724,3.60469,0.750347,0.527196,16.70709,5.141657,5.206001,0.917085,0.447668,16.811422,6.187449,5.953623,1.186671,0.50565,21.56732,5.323096,8.47408,1.140682,0.504402,12.916964,4.70718,4.104289,1.027009,0.423811
11.27864,3.47559,4.79153,0.814821,0.390164,31.418226,7.46414,9.520412,0.575414,0.4353,10.125329,3.726803,4.369256,0.84203,0.370132,11.645452,5.9124,6.345851,0.905232,0.371759,9.298732,2.855484,4.255275,1.282713,1.843302,22.295908,5.431188,4.542801,0.802662,0.309161,9.14275,3.307967,3.703755,0.408704,0.326297,8.644645,3.017293,2.182492,0.38917,0.244358,11.480226,3.879495,3.858743,0.482868,0.270945,13.056546,4.344287,4.068691,0.813696,0.649036,17.866474,5.734561,5.732214,0.942659,0.492997,17.748848,6.774698,6.583509,1.199154,0.54525,20.196859,5.096338,8.60438,1.136693,0.578326,13.514769,5.266023,4.60148,1.091966,0.48393
10.613954,3.773342,4.964396,0.844418,0.395878,28.585897,7.938455,9.82876,0.571234,0.453654,9.995067,3.998242,4.604309,0.826905,0.38792,12.271702,6.252818,6.52908,0.939196,0.396975,8.501373,3.002343,4.367903,1.510948,1.997504,16.465284,4.017298,4.576082,0.705546,0.265883,8.503306,3.604079,3.808406,0.391172,0.355552,8.311016,2.990676,2.103452,0.358692,0.255803,11.373011,4.17525,3.989194,0.445973,0.284718,12.979711,4.771879,4.198477,0.897619,0.780119,18.086378,6.288914,5.832565,0.988982,0.539161,17.314342,7.06316,6.772901,1.206835,0.574747,19.535828,5.25165,8.151417,1.143533,0.639926,13.588679,5.771208,4.762063,1.1707,0.539156
9.869651,3.995715,4.680243,0.839071,0.39485,24.280022,7.984628,8.891837,0.603273,0.474643,9.376261,4.089155,4.434292,0.785577,0.400706,11.930393,6.082527,5.949824,0.941936,0.427422,7.332486,2.988353,4.024755,1.714396,2.148003,12.454072,3.095158,4.283502,0.631432,0.232005,7.815495,3.66335,3.610159,0.387449,0.381409,7.875346,2.920203,1.954738,0.335597,0.269054,11.026303,4.35336,3.799011,0.423135,0.311859,12.36607,5.087364,3.942563,0.980483,0.887934,18.017599,6.812131,5.431411,1.018482,0.583858,16.285563,7.111259,6.402273,1.176662,0.593187,20.436668,5.792695,7.119793,1.129037,0.680741,13.888802,6.240538,4.512043,1.212479,0.580905
9.5598,4.233804,4.028609,0.799019,0.393668,19.413414,7.627714,7.001403,0.653362,0.502598,8.700495,4.095008,3.936774,0.719823,0.408566,10.800762,5.519317,4.780958,0.899816,0.456682,6.278247,2.838332,3.309372,1.866457,2.307908,9.882122,2.778805,3.723855,0.569275,0.21174,7.555204,3.436244,3.205299,0.373069,0.399028,7.737581,2.882811,1.816256,0.308665,0.282858,10.951454,4.451414,3.40414,0.401069,0.350266,11.774597,5.302778,3.419826,1.032289,0.944725,18.251467,7.404239,4.699612,0.999295,0.62322,15.537212,7.150533,5.625008,1.092613,0.600277,23.312372,6.712407,5.830889,1.070519,0.698243,15.045505,6.773731,3.993773,1.189292,0.603267
9.725921,4.54391,3.2348,0.749056,0.396478,14.519565,6.969487,4.76702,0.712119,0.538321,8.31772,4.122812,3.307561,0.653218,0.410938,9.260507,4.778598,3.403008,0.828204,0.477232,5.728477,2.596797,2.438699,1.971577,2.482199,8.196117,2.959299,3.043935,0.5146,0.2032,8.058036,2.973372,2.756825,0.351497,0.403897,8.162981,2.916409,1.772221,0.276992,0.295187,11.52234,4.495495,2.991951,0.374822,0.392611,11.665804,5.399325,2.842688,1.033816,0.937674,19.058674,8.058067,3.926856,0.931049,0.651994,15.64668,7.334641,4.739994,0.977448,0.596557,28.101702,7.80582,4.654701,0.975092,0.695287,16.908272,7.364285,3.442725,1.114578,0.605475
10.292207,4.843107,2.522612,0.715036,0.403407,10.072629,6.044609,2.809525,0.77577,0.575966,8.317757,4.181585,2.733056,0.609822,0.406866,7.745605,4.013063,2.188712,0.7526,0.484624,5.742147,2.293858,1.635462,2.049856,2.648402,7.087162,3.427114,2.411335,0.475814,0.201617,9.26879,2.396242,2.394859,0.34416,0.39453,9.078684,2.984146,1.841182,0.248376,0.305557,12.695128,4.469263,2.687896,0.34461,0.42881,12.101236,5.318877,2.379489,0.9805,0.873216,20.200216,8.594763,3.33974,0.833956,0.664559,16.641369,7.588259,4.002284,0.868098,0.583694,33.75769,8.784078,3.827932,0.870161,0.678279,18.910667,7.818991,3.033071,1.016428,0.59152
11.069382,4.976038,1.99777,0.711248,0.412812,7.272992,4.890222,1.505798,0.844194,0.608167,8.435021,4.168121,2.306145,0.59975,0.396095,6.740707,3.277525,1.350386,0.69411,0.480669,5.946541,1.955803,1.060524,2.11267,2.755063,6.706966,4.000515,1.974319,0.475615,0.203918,10.546207,1.853994,2.177477,0.37602,0.373644,9.92986,3.001279,1.985244,0.233182,0.316006,13.769073,4.323649,2.52815,0.313385,0.452208,12.55061,5.001708,2.091192,0.882599,0.773159,20.944263,8.73797,3.008907,0.734756,0.658715,17.750469,7.646642,3.514838,0.795714,0.566384,38.189877,9.289495,3.352725,0.785076,0.657917,20.409441,7.896046,2.787673,0.928194,0.570417
