POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
6.90239,3.07064,1.17142,1.308365,0.978923,20.359549,4.393633,1.227807,1.847562,1.829209,5.293234,3.003458,1.018281,1.510009,0.827762,2.90147,1.065143,0.989548,1.562688,1.530206,1.403451,2.102534,2.099883,4.115421,4.331102,0.449098,0.615944,1.152986,1.224351,1.212389,1.584252,1.731908,1.432938,1.140302,0.991586,2.157248,1.365297,0.546205,0.44273,0.515953,2.316972,1.98938,0.676604,0.537803,0.864642,3.32718,10.790322,2.340555,2.504488,2.436383,3.169577,5.680989,2.074607,1.764561,1.134782,18.826288,8.436775,4.110238,2.883849,1.870348,3.676837,3.41793,2.318921,2.511111,1.21817,8.19804,6.444227,2.288628,1.64481,1.081062
6.874657,2.513753,0.965417,1.421025,1.236995,16.238758,4.029824,1.051505,1.893144,2.001517,5.15189,2.558795,0.896289,1.681391,1.08997,2.224801,0.840568,0.901119,1.844315,1.952084,1.365663,2.178935,2.139237,5.76651,6.720555,0.532122,0.570584,1.231508,1.587617,1.408416,1.646856,1.618182,1.448045,1.519825,1.338994,2.034927,1.225814,0.52959,0.59997,0.695451,2.656779,1.739504,0.602233,0.807668,1.084325,4.020165,9.236378,1.978687,2.940184,3.536586,2.68594,4.989296,1.834639,2.24281,1.510275,22.160021,9.240542,4.873248,3.594716,2.507085,2.818887,3.422565,1.810512,2.883162,1.448051,7.684554,5.615977,1.814371,2.043925,1.408079
11.18934,2.535058,0.903638,1.627928,1.607271,12.546686,3.731157,0.979827,2.034873,2.26594,5.228724,2.087663,0.807099,1.921917,1.468408,2.085134,0.632108,0.854681,2.273875,2.487666,1.497314,2.167426,2.190204,8.105025,10.054388,0.60687,0.562754,1.274549,2.087513,1.825491,1.673057,1.478294,1.402221,2.005222,1.862209,1.791225,1.053125,0.587209,0.837521,0.977767,2.976606,1.423822,0.594313,1.21991,1.495591,5.065273,7.532578,1.722505,3.617186,5.659004,2.600445,4.150568,1.733408,2.883074,2.125336,24.19364,9.154433,5.32329,4.303213,3.271964,2.291644,3.233179,1.588733,3.409476,1.919627,11.897443,5.122519,1.600245,2.608757,1.92373
22.538321,3.810769,0.986879,1.986022,2.108814,10.868274,3.628114,0.987019,2.364367,2.632507,5.845583,1.750358,0.736317,2.259782,1.985345,2.938027,0.50015,0.843128,2.861503,3.169729,1.642594,2.061682,2.362324,10.999942,14.117303,0.67696,0.611252,1.284786,2.653397,2.488423,1.676167,1.340279,1.318858,2.550623,2.567614,1.517406,0.897262,0.748856,1.147806,1.356692,3.207602,1.14686,0.709628,1.767931,2.114609,7.943244,6.105033,1.682662,4.553464,9.002444,3.18775,3.509879,1.732725,3.648132,3.025503,24.983568,8.318845,5.236343,4.953938,4.162575,2.424433,2.907386,1.608783,4.062034,2.647241,23.332752,5.845685,1.606429,3.344041,2.658511
42.12381,6.604804,1.159058,2.514662,2.74219,12.712875,3.859587,1.085752,2.895333,3.095502,7.369977,1.730206,0.695308,2.692297,2.630877,4.979342,0.501693,0.887217,3.581444,4.02245,2.046665,1.836495,2.728908,14.203018,18.631872,0.834037,0.710961,1.298661,3.185477,3.331729,1.815569,1.221575,1.257178,3.104538,3.408217,1.337883,0.777976,1.003986,1.50641,1.799078,3.315922,0.970788,0.988152,2.423571,2.894605,13.071166,5.094262,1.928414,5.720417,13.275046,4.870133,3.322708,1.843635,4.464343,4.199723,25.43672,7.237425,4.633305,5.503947,5.165187,3.682334,2.632018,1.829349,4.753775,3.579352,43.115265,8.3932,1.746866,4.201591,3.598591
69.926376,10.837782,1.418549,3.187308,3.478509,17.360722,4.516931,1.300622,3.550021,3.640383,9.912988,2.157046,0.739581,3.190461,3.357148,8.306421,0.730688,1.046035,4.376729,5.028466,2.469787,1.546638,3.297462,17.371521,23.286417,1.134707,0.846993,1.405826,3.611058,4.216326,2.149322,1.159637,1.325997,3.649268,4.297307,1.329685,0.703587,1.315843,1.88885,2.256772,3.337061,0.917692,1.447469,3.152515,3.734569,20.331764,4.433748,2.452688,7.019138,17.693171,7.976264,3.729578,2.194824,5.280371,5.575802,26.727509,6.57347,3.840628,5.968492,6.245595,6.592052,2.658142,2.301062,5.394451,4.616611,70.578438,13.007713,2.03988,5.108946,4.681291
102.685867,15.992118,1.749381,3.945957,4.27695,23.332443,5.585921,1.635661,4.212117,4.278486,12.935035,3.05242,0.905886,3.735293,4.101589,12.136085,1.24679,1.353825,5.21151,6.138059,2.950212,1.331044,3.989039,20.066298,27.654936,1.58675,1.022945,1.679822,3.926656,5.016548,2.609149,1.213317,1.613342,4.201319,5.159719,1.44017,0.686827,1.630263,2.275115,2.684794,3.227846,0.992597,2.04294,3.909058,4.512826,29.200153,4.024484,3.14794,8.318941,21.28364,12.144493,4.737484,2.905899,6.095595,7.043571,29.680092,6.88208,3.276758,6.427133,7.360318,11.056705,3.206494,3.060778,5.954512,5.662951,101.763275,19.246193,2.485388,6.000362,5.822848
134.398987,21.092793,2.152716,4.729101,5.087022,28.364889,6.864185,2.074932,4.816751,5.038476,15.46297,4.276331,1.203229,4.329121,4.80299,15.293671,2.015341,1.801157,6.100312,7.280741,3.347295,1.354542,4.656475,21.842478,31.255199,2.124238,1.259464,2.129839,4.210031,5.66974,3.070349,1.433248,2.131748,4.804423,5.953834,1.587677,0.756858,1.892208,2.649422,3.047159,3.057211,1.204846,2.679109,4.64231,5.11882,36.505287,3.828415,3.824636,9.508388,23.271122,16.346704,6.203187,4.002758,6.943962,8.46871,33.895126,8.323993,3.288826,6.98818,8.449201,15.664003,4.344417,4.067021,6.473636,6.654214,130.420654,25.960711,3.093583,6.838091,6.924448
157.80632,24.929594,2.599721,5.462001,5.82996,30.416344,8.005436,2.568004,5.337072,5.90613,16.969103,5.533079,1.590533,4.95733,5.395463,17.095537,2.899624,2.313042,7.048109,8.347107,3.57011,1.699187,5.148801,22.44346,33.690559,2.635972,1.566832,2.666309,4.535965,6.161119,3.361313,1.818216,2.775223,5.460395,6.643827,1.670038,0.930675,2.055492,2.982959,3.31171,2.895213,1.54212,3.225443,5.288586,5.474328,41.627232,3.812656,4.270431,10.470068,23.352755,19.620298,7.792243,5.306941,7.812947,9.685081,38.096432,10.503788,3.911921,7.670677,9.406492,19.687122,5.867678,5.136271,6.97877,7.530263,150.347412,31.493126,3.789169,7.570018,7.862389
166.606628,26.492895,3.015318,6.071033,6.391816,29.012508,8.681088,2.996647,5.764807,6.772801,16.800909,6.464595,1.980111,5.564907,5.802179,16.574039,3.688334,2.765435,8.002767,9.179135,3.600502,2.30685,5.361883,21.870768,34.78479,2.968191,1.911784,3.109926,4.906212,6.484282,3.351001,2.271698,3.337914,6.093243,7.165748,1.629116,1.177923,2.089817,3.228976,3.448759,2.705791,1.936118,3.550249,5.768932,5.54647,42.004547,3.916438,4.365713,11.126212,21.828188,20.816843,9.021169,6.475587,8.602491,10.509117,40.411331,12.587446,4.852798,8.372439,10.076962,21.692968,7.379803,6.016411,7.430701,8.214697,155.539505,34.23138,4.432659,8.117539,8.490725
159.386292,25.400883,3.288658,6.474293,6.652947,24.508713,8.704534,3.247793,6.065131,7.452816,15.426903,6.768585,2.254244,6.032229,5.951781,14.640206,4.162301,3.020314,8.809093,9.611403,3.34268,3.003714,5.227442,20.354095,34.642361,3.029941,2.218587,3.285125,5.216722,6.624653,3.030268,2.652724,3.609448,6.538988,7.429134,1.459561,1.414869,1.987402,3.325632,3.438559,2.524363,2.264488,3.561209,5.9927,5.353255,38.352642,3.994511,4.106328,11.440897,19.526747,19.946075,9.451827,7.132866,9.108737,10.790287,39.820469,13.651338,5.633755,8.866616,10.303111,21.832352,8.413167,6.461728,7.697833,8.625483,146.664719,33.330093,4.818964,8.356868,8.67942
137.545288,22.100683,3.349391,6.5999,6.521233,18.391254,8.064767,3.257092,6.161737,7.740706,12.875028,6.3728,2.345341,6.212584,5.792667,11.361159,4.217103,3.026398,9.241777,9.512544,2.893285,3.582486,4.783432,18.308805,33.530262,2.7446,2.403956,3.108503,5.301621,6.540197,2.386576,2.845234,3.48296,6.610999,7.337394,1.14862,1.542632,1.770889,3.219559,3.274509,2.202755,2.410135,3.253029,5.882,4.945295,31.222239,3.900064,3.632344,11.42684,17.398668,16.979649,8.934978,7.058125,9.105894,10.452894,35.863304,13.290421,5.903486,8.907825,9.977467,19.97892,8.663358,6.335559,7.617693,8.681334,124.427002,29.137556,4.839645,8.166554,8.354025
107.736641,17.61001,3.216289,6.403778,5.979309,12.658545,6.944021,3.071066,5.972316,7.499004,10.29601,5.454135,2.282236,6.000422,5.316774,8.324018,3.900891,2.844427,9.112635,8.838549,2.387659,3.931548,4.211981,16.223364,31.707232,2.282774,2.410204,2.641031,5.038295,6.184177,1.750352,2.813585,3.016191,6.204786,6.836184,0.829648,1.498766,1.488624,2.897943,2.969908,1.900686,2.307562,2.724014,5.412109,4.387539,23.030247,3.54956,3.189347,11.140396,16.05798,13.266577,7.653911,6.327744,8.474387,9.525224,29.870251,11.673265,5.626438,8.363731,9.090672,17.071033,8.112906,5.701375,7.09973,8.321698,97.093597,22.937084,4.513925,7.502654,7.531108
75.805641,13.093344,2.986906,5.894942,5.108094,8.699979,5.634937,2.793255,5.464705,6.7347,7.886894,4.356312,2.152279,5.395408,4.580338,5.933554,3.379502,2.601448,8.380007,7.671487,1.972649,4.066116,3.768038,14.519584,29.342539,1.742928,2.225245,2.036887,4.432203,5.556877,1.204648,2.578525,2.383471,5.375181,5.963943,0.545861,1.288138,1.203159,2.407609,2.564066,1.492817,1.974452,2.131633,4.640705,3.752671,15.603791,2.947825,2.962218,10.617108,15.60586,9.370394,6.011151,5.247689,7.288909,8.155293,23.088785,9.302588,4.958693,7.287593,7.754888,13.868081,6.973324,4.77738,6.194433,7.551416,67.915634,16.428068,4.006575,6.452477,6.336569
