POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
3.851393,1.369567,1.077871,1.137393,0.679645,4.14782,1.512205,1.296383,1.041819,1.92338,1.829801,1.173704,1.49602,1.039333,0.625985,2.9418,2.231039,0.889246,1.730226,1.977823,2.097852,1.569063,3.502825,10.246743,23.31497,0.555563,0.196807,0.148582,0.316742,0.394396,0.643206,0.401971,0.600824,0.638899,0.651411,0.520307,0.134923,0.393693,0.19101,0.268113,1.370334,0.29812,0.756299,0.587979,0.479736,7.482756,1.940697,1.729002,4.797985,6.237899,4.431997,1.130074,2.017771,1.205094,0.772331,4.334377,1.157963,1.708868,1.229111,0.579794,5.154416,1.803627,1.985277,1.074582,1.019605,7.13915,0.759297,1.428501,1.257353,0.629371
3.01482,1.105382,0.938544,1.092394,0.748339,3.588759,1.693686,1.213713,1.109055,1.961206,1.960094,1.049419,1.419045,0.959644,0.712233,2.591943,2.220602,0.807955,1.741301,2.055888,2.017749,1.481655,3.982382,10.055106,23.191235,0.536794,0.263786,0.191493,0.338991,0.440462,0.610599,0.469718,0.745472,0.61587,0.730063,0.435151,0.109352,0.380816,0.182207,0.31048,1.184055,0.317882,0.704254,0.549441,0.543525,7.367925,2.333703,1.885511,4.209742,6.880775,4.778706,1.230094,2.030298,1.114251,0.850604,4.977692,1.234794,1.56995,1.14857,0.692985,5.126771,1.90465,2.184653,1.045757,1.13115,7.263288,0.674547,1.395182,1.235342,0.719121
2.668328,1.185807,0.825504,0.982841,0.842807,3.184414,2.230274,1.088363,1.107697,1.888763,2.19796,1.102976,1.339105,0.820756,0.833663,2.357855,2.262155,0.762814,1.635668,2.196529,1.982431,1.488265,4.363194,9.888688,22.785,0.58727,0.346604,0.237546,0.342532,0.485929,0.616285,0.621544,0.929653,0.568848,0.840125,0.36992,0.126672,0.356419,0.165845,0.355633,1.067305,0.437479,0.626783,0.472453,0.619009,7.066574,2.725492,1.978444,3.46681,7.597395,6.09144,1.476754,1.956307,0.982821,0.990427,6.548678,1.682906,1.419647,1.024589,0.867842,6.856767,2.248765,2.307077,0.989718,1.284564,7.861091,0.854786,1.357011,1.146618,0.834665
2.715614,1.466692,0.79496,0.84064,0.946427,2.742429,2.962589,1.004549,1.040934,1.734448,2.61554,1.320553,1.291845,0.661627,0.968932,2.228173,2.344419,0.815379,1.438693,2.383146,2.021282,1.603545,4.536788,9.929522,22.190788,0.674356,0.412006,0.270914,0.326171,0.522112,0.669292,0.805103,1.093992,0.504166,0.959318,0.35333,0.182876,0.327352,0.145877,0.39612,1.06461,0.633497,0.54572,0.383872,0.689817,6.582677,3.012282,1.956931,2.778972,8.274373,7.946686,1.790233,1.830294,0.862832,1.16983,8.960136,2.399058,1.303747,0.897184,1.074975,9.158156,2.693077,2.338377,0.935148,1.453681,8.682438,1.175903,1.365964,1.015602,0.956248
3.345393,1.873632,0.898649,0.724069,1.040481,2.815106,3.736411,1.073724,0.955344,1.549913,3.184566,1.692394,1.291833,0.536726,1.093313,2.147871,2.470201,1.006781,1.233336,2.57371,2.035519,1.826644,4.477874,10.440685,21.729429,0.746849,0.436415,0.284099,0.299577,0.543976,0.725513,0.960565,1.186533,0.440978,1.063991,0.356493,0.256302,0.302653,0.128333,0.425828,1.101773,0.852207,0.493569,0.313949,0.740611,5.830288,3.120843,1.864975,2.347708,8.791206,9.629001,2.114981,1.708248,0.816812,1.347466,11.645234,3.260148,1.253834,0.813152,1.273059,11.260695,3.138013,2.301658,0.933077,1.602366,9.589392,1.579016,1.456008,0.904867,1.064147
4.354353,2.397921,1.140083,0.68767,1.116466,3.783359,4.437716,1.341655,0.915627,1.392896,3.788358,2.219661,1.3284,0.495988,1.192908,2.122051,2.647558,1.326926,1.120291,2.729156,1.983387,2.118898,4.347322,11.599666,21.793112,0.768251,0.422257,0.287364,0.279936,0.552104,0.788705,1.054884,1.205829,0.409874,1.136269,0.357481,0.321644,0.293985,0.120992,0.441036,1.113058,1.031075,0.502154,0.280727,0.764432,4.941381,3.019884,1.785535,2.272303,9.051035,10.586862,2.486411,1.641379,0.893249,1.480951,13.720251,4.162148,1.278047,0.806008,1.428431,12.690397,3.632519,2.241965,1.039604,1.700734,10.314692,2.081843,1.621345,0.88554,1.150505
5.464168,2.985137,1.475032,0.751838,1.17936,5.561599,4.959003,1.778899,0.96729,1.30605,4.223156,2.838058,1.388013,0.560572,1.270234,2.124102,2.862265,1.730936,1.16448,2.837784,1.795788,2.447681,4.471063,13.468975,22.619133,0.74953,0.390557,0.302117,0.282206,0.552059,0.837324,1.077452,1.214802,0.435066,1.170278,0.333767,0.363203,0.31361,0.129999,0.44107,1.05475,1.120794,0.587425,0.283,0.763465,4.023344,2.752236,1.790852,2.499665,8.999877,10.476549,2.909878,1.659708,1.090597,1.545932,14.423662,4.956234,1.379428,0.874594,1.526763,13.15712,4.215626,2.211676,1.270902,1.740609,10.351201,2.667965,1.82404,0.992541,1.22215
6.360847,3.531601,1.825428,0.88702,1.239673,7.678378,5.199411,2.281771,1.107423,1.302602,4.360081,3.421301,1.462915,0.70633,1.337409,2.134185,3.073756,2.152695,1.344299,2.915301,1.513856,2.781503,5.085799,15.698824,24.14546,0.709898,0.366888,0.350341,0.309257,0.55619,0.898854,1.035058,1.307581,0.519495,1.176248,0.3077,0.371963,0.371211,0.154327,0.428157,0.939298,1.09677,0.742397,0.304993,0.745613,3.167271,2.373849,1.901047,2.851773,8.692617,9.300561,3.295291,1.766858,1.346651,1.55034,13.522771,5.473085,1.563747,0.980433,1.574725,12.613322,4.81323,2.254691,1.577164,1.749653,9.514971,3.23054,2.014943,1.194761,1.2953
6.776391,3.931224,2.107274,1.030646,1.30416,9.555725,5.086662,2.709607,1.28662,1.37164,4.20083,3.844876,1.548865,0.873658,1.406029,2.523074,3.267846,2.526232,1.568518,2.991081,1.196131,3.091515,6.184891,17.54501,25.982868,0.680106,0.369055,0.440853,0.348901,0.580541,0.933616,0.964315,1.558968,0.637029,1.173973,0.296933,0.354955,0.464534,0.18581,0.40688,0.791318,0.981074,0.931126,0.327206,0.721693,2.462632,1.951894,2.066874,3.152934,8.316586,7.449669,3.546292,1.936668,1.575122,1.530989,11.339595,5.615728,1.813205,1.071458,1.59469,11.300943,5.28061,2.392924,1.87269,1.777241,7.996955,3.653004,2.15144,1.414773,1.385046
6.49854,4.09477,2.261146,1.143564,1.372229,10.403858,4.636991,2.940934,1.467152,1.495975,3.830234,4.024213,1.642151,1.023353,1.480999,3.575694,3.45875,2.795991,1.7944,3.092577,0.985183,3.331811,7.401106,18.644854,27.592113,0.660667,0.394281,0.559975,0.382054,0.633354,0.939746,0.91155,1.957234,0.754177,1.180204,0.333181,0.329064,0.573622,0.218204,0.38331,0.665365,0.821413,1.092715,0.345615,0.702254,1.995596,1.534468,2.190935,3.403276,8.116273,5.482721,3.545254,2.123701,1.734078,1.538634,8.550538,5.344312,2.08164,1.13307,1.614654,9.629723,5.400366,2.603693,2.107843,1.868564,6.16734,3.814413,2.213609,1.596061,1.497391
