Source.Name,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,OriginalTimestamp
lokeshpq1.normal.csv,15.979733,0.624018,0.72009,0.266672,0.1372,30.705055,1.873947,0.562779,0.169788,0.178727,4.686068,1.40018,0.445817,0.207774,0.139088,5.089267,0.876693,0.399644,0.249064,0.164256,1.967297,0.356152,0.177203,0.120615,0.129054,160.621155,20.937016,4.390965,1.310103,0.396232,0.597953,0.377836,0.220326,0.063982,0.07241,0.715399,1.27797,0.325024,0.158747,0.105801,0.589151,0.81247,0.356488,0.119706,0.117445,1.064711,0.462736,0.189407,0.113779,0.110927,6.258544,2.57737,1.116651,0.193958,0.227856,6.165415,1.666089,0.553471,0.271296,0.176843,17.319145,0.930135,0.588356,0.232675,0.203629,14.357491,1.074432,0.502092,0.526896,0.264199,
lokeshpq1.normal.csv,16.713415,0.601853,0.735384,0.245779,0.145701,28.805666,1.44854,0.68256,0.181875,0.180773,4.627154,1.396652,0.411996,0.219451,0.148279,5.141947,0.883321,0.372751,0.257944,0.192165,2.215173,0.328126,0.184855,0.12296,0.134367,204.39682,22.55508,5.792038,1.598374,0.454822,0.655683,0.398725,0.24592,0.065285,0.082998,0.658496,1.147115,0.306929,0.163341,0.111505,0.595858,0.71896,0.285106,0.11343,0.120833,1.021644,0.449134,0.200964,0.095736,0.097955,6.127662,2.287927,0.993011,0.242978,0.224163,5.518241,1.701369,0.528309,0.294169,0.176237,18.197159,1.238886,0.540468,0.20603,0.182967,14.588229,0.759668,0.467203,0.530275,0.280646,
lokeshpq1.normal.csv,15.091196,0.597496,0.701806,0.224223,0.159661,32.516148,1.374302,0.930709,0.205506,0.17473,4.064675,1.379129,0.355856,0.216002,0.164472,4.972833,0.892874,0.318781,0.250754,0.212221,2.434191,0.300378,0.183636,0.123366,0.136084,289.220367,24.845442,7.450713,2.13036,0.555914,0.699165,0.407327,0.26772,0.070379,0.090892,0.606398,1.079852,0.320637,0.16311,0.115218,0.615069,0.683115,0.237572,0.105764,0.120967,0.955675,0.474386,0.2534,0.08102,0.090047,5.230436,2.251959,0.844579,0.313133,0.219407,4.376492,1.778684,0.503086,0.299269,0.174554,15.078122,1.597128,0.51975,0.181268,0.162141,14.777082,0.614664,0.422878,0.501962,0.294013,
lokeshpq1.normal.csv,11.99976,0.609088,0.645272,0.210289,0.178148,38.257088,1.812134,1.287662,0.239484,0.162604,3.332884,1.311077,0.296803,0.199733,0.184162,4.578843,0.920405,0.258379,0.230898,0.218027,2.47921,0.275216,0.175318,0.122021,0.13365,390.140259,27.5634,9.008487,2.685966,0.668538,0.7284,0.396257,0.276945,0.079008,0.096651,0.581187,1.079792,0.368797,0.15935,0.116693,0.70718,0.714803,0.228507,0.100551,0.1174,0.932876,0.551327,0.344658,0.075854,0.087094,4.336243,2.400537,0.71982,0.39331,0.219566,3.270654,1.888458,0.501524,0.292417,0.171404,12.664734,1.938219,0.538244,0.168716,0.148534,12.573513,0.634194,0.401601,0.449774,0.303079,
lokeshpq1.normal.csv,8.02568,0.662231,0.598102,0.206525,0.198984,44.45599,2.71586,1.677052,0.276347,0.147824,2.669792,1.224011,0.263376,0.17778,0.202182,4.005576,0.975478,0.218216,0.208441,0.208822,2.394321,0.250758,0.162139,0.120355,0.127642,474.47644,29.695135,10.033539,3.063213,0.75668,0.732564,0.375381,0.272934,0.089401,0.101033,0.591578,1.138794,0.437585,0.153518,0.116422,0.775706,0.801087,0.255695,0.101735,0.111278,0.94055,0.679352,0.450414,0.083014,0.087591,3.547008,2.637099,0.643495,0.46714,0.229505,2.40703,2.061591,0.537427,0.281368,0.169008,8.793376,2.199077,0.583234,0.175576,0.146972,10.169922,0.797504,0.435337,0.391967,0.308704,
lokeshpq1.normal.csv,4.629148,0.759544,0.576499,0.208475,0.219585,50.514057,3.863525,1.983234,0.30588,0.133413,2.206235,1.154611,0.275518,0.157595,0.214338,3.377443,1.030556,0.214833,0.192124,0.189546,2.106645,0.223767,0.149362,0.118331,0.119227,513.69928,30.126743,10.281808,3.10748,0.786383,0.739938,0.359142,0.258318,0.098531,0.104038,0.635907,1.226759,0.504124,0.146162,0.115275,0.876551,0.904089,0.305824,0.111318,0.105038,0.956847,0.836359,0.534958,0.100146,0.090331,3.168319,2.810946,0.614484,0.517679,0.249527,2.025317,2.282953,0.604711,0.271604,0.170323,6.622298,2.312092,0.647696,0.200655,0.157726,7.076428,1.09476,0.53389,0.345629,0.311952,
lokeshpq1.normal.csv,2.379459,0.909422,0.570985,0.209006,0.237133,54.02877,5.126053,2.285955,0.380923,0.125073,2.261338,1.158614,0.321467,0.14325,0.220109,2.768757,1.061417,0.247906,0.185019,0.168292,1.704815,0.200893,0.140647,0.116646,0.110197,491.04895,28.17614,9.779325,2.799012,0.742941,0.713549,0.372245,0.244406,0.102995,0.104523,0.705979,1.324494,0.548646,0.136945,0.113965,0.964184,0.993143,0.35586,0.128089,0.100839,0.995536,0.99474,0.564785,0.120776,0.094523,3.475322,2.860562,0.599643,0.532674,0.274105,2.244439,2.544962,0.669494,0.264971,0.176579,4.316509,2.277102,0.685181,0.234079,0.176408,5.400128,1.475549,0.683222,0.317859,0.312258,
lokeshpq1.normal.csv,1.600054,1.092119,0.559947,0.20458,0.248228,83.348412,12.526644,4.190569,0.81838,0.150805,2.453362,1.249223,0.380889,0.134951,0.221607,2.353397,1.0552,0.302648,0.183923,0.15202,1.536561,0.228826,0.148921,0.119413,0.102149,411.168091,23.759075,8.675694,2.249709,0.638198,0.718006,0.432335,0.239021,0.101517,0.101044,0.797941,1.415841,0.552813,0.125853,0.112789,1.039144,1.059221,0.386566,0.14813,0.099524,0.98116,1.123194,0.528941,0.137074,0.099822,3.938563,2.794089,0.573256,0.50971,0.294635,2.861256,2.802798,0.694726,0.259451,0.186601,3.507896,2.118703,0.671068,0.261283,0.195696,5.295494,1.860988,0.826207,0.304892,0.30777,
lokeshpq1.normal.csv,1.868965,1.261605,0.523473,0.198564,0.250003,193.140533,36.633835,10.409324,2.095366,0.252517,2.972959,1.37879,0.420479,0.131587,0.22145,2.236405,1.01062,0.352073,0.1837,0.143521,2.12929,0.390075,0.194603,0.135308,0.096022,299.201294,18.103125,7.273918,1.650669,0.506431,0.715316,0.539749,0.242533,0.096342,0.093404,0.906067,1.488952,0.514833,0.116768,0.111717,1.115856,1.105341,0.391858,0.166753,0.101119,0.997751,1.190466,0.446263,0.143861,0.106882,4.705492,2.677551,0.537754,0.458385,0.304355,3.875896,2.963865,0.656456,0.253415,0.197793,3.147532,1.890799,0.600547,0.271338,0.208748,6.222632,2.170531,0.917796,0.297971,0.297504,
lokeshpq1.normal.csv,2.521965,1.373892,0.459182,0.198084,0.240791,422.988892,84.159477,22.526237,4.47062,0.452571,3.282411,1.494127,0.424653,0.134019,0.220737,2.399239,0.946335,0.376858,0.183034,0.141046,3.697427,0.746903,0.29518,0.171514,0.091701,188.51947,12.925656,5.981424,1.187507,0.390138,0.73587,0.67374,0.251362,0.092092,0.083736,1.007744,1.522065,0.444454,0.114389,0.110449,1.121516,1.130758,0.37964,0.179922,0.10499,0.968891,1.17927,0.354195,0.139859,0.115785,5.086117,2.581028,0.519876,0.396129,0.299223,4.842471,2.940303,0.564307,0.247857,0.207157,3.403784,1.648102,0.501089,0.259904,0.210605,7.948265,2.359225,0.935572,0.288776,0.281684,
