Source.Name,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,Column1
lokeshspell.normal.csv,1.991249,0.372272,0.374974,0.212128,0.298435,6.831728,0.920089,0.934497,0.524375,0.688698,1.844627,0.217351,0.400718,0.264047,0.337653,4.151031,0.301758,0.737095,0.38785,1.833523,1.502824,0.410798,0.738661,0.780121,0.931718,80.281418,19.964792,5.792723,2.511115,0.612389,1.256763,0.282932,0.222521,0.289543,0.430669,1.390571,0.229542,0.236681,0.124409,0.128644,1.548501,0.072242,0.216361,0.250211,0.212278,1.129334,0.331253,0.161196,0.143239,0.457369,3.985465,0.671765,0.188782,0.355608,0.464913,2.51764,0.387959,0.303275,0.247081,0.24225,8.924318,0.4486,0.249172,0.275073,0.460719,4.248282,0.727215,0.252686,0.238174,0.280671,
lokeshspell.normal.csv,1.768874,0.391397,0.389232,0.216376,0.313819,5.842601,0.686827,0.911554,0.487078,0.563772,1.665212,0.29386,0.471527,0.24191,0.349503,4.679932,0.474576,0.775528,0.413386,1.8011,1.439903,0.380055,0.656038,0.663044,0.745649,102.47834,32.893002,7.218823,2.822539,0.63417,1.180364,0.32476,0.19466,0.241874,0.383184,1.381715,0.250544,0.293866,0.113654,0.135423,1.653402,0.059715,0.26028,0.226777,0.215951,0.896691,0.326467,0.196223,0.130788,0.44487,2.717917,0.568898,0.287109,0.332155,0.420554,2.490815,0.436787,0.370509,0.216672,0.255445,5.395562,0.350423,0.339531,0.267842,0.390664,3.79138,0.809284,0.296852,0.233985,0.262424,
lokeshspell.normal.csv,1.687027,0.410053,0.401529,0.221838,0.346713,5.900408,0.576376,0.845575,0.441392,0.479868,1.701249,0.391231,0.526316,0.219149,0.360569,13.683519,2.056664,1.275952,0.560797,1.75922,1.345366,0.370561,0.639414,0.574397,0.632261,126.926041,50.424473,9.510402,3.213791,0.679863,1.148706,0.405003,0.173022,0.195573,0.33311,1.385583,0.290796,0.362615,0.109913,0.148201,1.714316,0.077401,0.316121,0.205063,0.219693,0.819257,0.334966,0.238636,0.123045,0.41604,2.407594,0.501961,0.40449,0.305815,0.389683,2.864777,0.506651,0.429769,0.186761,0.278049,3.838068,0.315833,0.441791,0.27247,0.327956,3.607061,0.878679,0.347136,0.237475,0.244211,
lokeshspell.normal.csv,1.648649,0.423139,0.41365,0.231637,0.380886,7.13849,0.55988,0.755373,0.387296,0.421157,1.785173,0.47561,0.558059,0.199904,0.362402,37.746925,6.982656,2.919027,0.997714,1.695076,1.237738,0.364304,0.635382,0.507307,0.56851,148.500153,68.282097,12.778648,3.586614,0.726093,1.105414,0.503137,0.162857,0.153533,0.287467,1.363617,0.328923,0.428854,0.10836,0.160573,1.678519,0.117297,0.364218,0.18356,0.220413,0.728517,0.348554,0.276876,0.117502,0.370532,4.717939,0.457422,0.511177,0.274791,0.366515,3.401436,0.567776,0.476478,0.163053,0.300134,2.426763,0.299196,0.527172,0.277484,0.275164,3.548099,0.893883,0.395589,0.245594,0.228449,
lokeshspell.normal.csv,1.65557,0.438312,0.431658,0.251886,0.40057,9.537371,0.620309,0.698811,0.328299,0.369265,1.838053,0.526276,0.569686,0.190185,0.349751,86.715508,16.496815,6.083187,1.817715,1.607271,1.12469,0.357258,0.606312,0.446393,0.525329,163.265305,82.233421,16.820044,3.896325,0.74668,1.032388,0.582925,0.169797,0.121441,0.249054,1.290632,0.347186,0.48066,0.108483,0.167301,1.563554,0.160788,0.389481,0.16555,0.216647,0.665727,0.364107,0.303757,0.117311,0.313385,5.683239,0.442991,0.584021,0.243522,0.343147,3.940137,0.607157,0.520217,0.154506,0.314404,1.928226,0.287463,0.567757,0.278463,0.229657,3.418418,0.847066,0.443142,0.257446,0.216491,
lokeshspell.normal.csv,1.729916,0.450684,0.457432,0.288839,0.400126,12.329872,0.755032,0.730212,0.271077,0.316039,1.899709,0.526937,0.565348,0.192949,0.322584,149.817993,29.659199,10.475277,2.939422,1.506191,1.115821,0.347738,0.548492,0.383083,0.48621,168.956619,89.745491,21.077057,4.223602,0.735841,0.952634,0.616543,0.189363,0.102903,0.217419,1.248311,0.342138,0.509024,0.112758,0.166061,1.419977,0.189781,0.387769,0.155676,0.208831,0.652293,0.369607,0.311399,0.1271,0.255518,9.119353,0.471129,0.609666,0.221109,0.317172,4.372381,0.609119,0.565687,0.16892,0.319233,1.809103,0.272415,0.557775,0.279696,0.189936,3.238491,0.737064,0.487529,0.274177,0.209953,
lokeshspell.normal.csv,1.908166,0.459902,0.483471,0.344265,0.384596,14.674475,0.963791,0.865907,0.224034,0.26412,1.943168,0.475127,0.548367,0.204722,0.285776,219.148758,43.346172,14.991848,4.086521,1.401308,1.230269,0.340046,0.478264,0.322322,0.447807,169.31424,90.955338,25.005219,4.745846,0.70872,0.880344,0.598008,0.209556,0.095558,0.19116,1.317244,0.327843,0.511028,0.122439,0.158161,1.305922,0.197833,0.367184,0.154521,0.199133,0.707985,0.359887,0.300089,0.146577,0.209647,11.324801,0.532635,0.587485,0.213263,0.293732,4.632285,0.572054,0.610508,0.203927,0.317784,1.920083,0.243867,0.503406,0.286577,0.158693,3.06266,0.589535,0.522083,0.295547,0.209786,
lokeshspell.normal.csv,2.252808,0.467966,0.497287,0.412191,0.363822,16.018181,1.237311,1.066629,0.1919,0.21804,2.004506,0.386895,0.519472,0.218508,0.248377,267.595917,53.205242,18.175638,4.886462,1.283781,1.4546,0.340837,0.416169,0.27508,0.410045,163.919907,87.739838,28.073092,5.576635,0.690237,0.823136,0.545804,0.220088,0.093004,0.16998,1.494664,0.325153,0.492041,0.136091,0.147215,1.230188,0.190197,0.344099,0.157834,0.190154,0.846646,0.342296,0.284708,0.171152,0.183901,13.251455,0.638497,0.537188,0.219203,0.279687,4.668255,0.5196,0.650838,0.248204,0.314701,2.03424,0.21679,0.432048,0.300157,0.139724,2.893798,0.443119,0.537644,0.319272,0.21522,
lokeshspell.normal.csv,2.693692,0.478483,0.493164,0.477355,0.346631,15.703044,1.532385,1.251976,0.174095,0.180914,2.092242,0.296604,0.478503,0.226563,0.220218,281.824097,55.848122,18.897253,5.057904,1.135172,1.702094,0.343761,0.373657,0.248805,0.372435,153.642242,82.814896,29.732574,6.625372,0.698085,0.782567,0.482781,0.220722,0.091009,0.154068,1.725428,0.349205,0.465059,0.150375,0.137015,1.192635,0.179444,0.337844,0.159358,0.18364,1.050691,0.333872,0.291299,0.195053,0.178105,13.931439,0.792136,0.492072,0.232158,0.277596,4.564026,0.49593,0.689529,0.286861,0.312466,2.188938,0.218104,0.381392,0.316553,0.133929,2.866894,0.335265,0.536665,0.342098,0.223815,
lokeshspell.normal.csv,3.212164,0.487448,0.475711,0.524734,0.337501,14.262856,1.78409,1.335322,0.166911,0.154181,2.272057,0.234082,0.42561,0.225085,0.206433,256.433716,50.353828,16.881235,4.532059,0.94504,1.885429,0.337297,0.348131,0.242939,0.334979,141.36116,77.882027,29.628454,7.57403,0.732434,0.73219,0.433322,0.218846,0.08897,0.142927,1.934818,0.395649,0.442229,0.162077,0.129683,1.207219,0.175077,0.357642,0.154745,0.180048,1.329699,0.347849,0.341486,0.213757,0.18492,12.837254,0.992356,0.485296,0.243797,0.284589,4.46633,0.529304,0.729507,0.308416,0.309826,2.396619,0.268848,0.384249,0.329122,0.138857,2.997877,0.28208,0.527102,0.360213,0.232272,
