POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1.53696,0.660077,0.703289,0.581801,0.24663,0.510881,0.261584,0.328171,0.246481,0.157601,0.959974,0.369683,0.718549,0.329581,0.127618,10.879869,4.129715,2.611857,0.732167,0.217761,1.021755,0.139584,0.255309,0.169959,0.168928,0.546906,0.262889,0.331542,0.145945,0.036958,0.574663,0.4185,0.428293,0.245369,0.131221,0.612209,0.399383,0.402858,0.185107,0.134961,0.82246,0.578748,0.75977,0.445974,0.296736,0.498999,0.345827,0.825024,0.674588,0.315222,1.266773,0.882524,0.769193,0.554224,0.183012,2.076129,0.423026,0.810527,0.685554,0.180535,1.239273,1.024928,0.674422,0.918157,0.199518,1.334263,0.714452,0.476574,0.613224,0.126349
1.593448,0.755703,0.656784,0.604241,0.229641,0.571745,0.297706,0.281934,0.259706,0.175171,1.06014,0.440406,0.67896,0.361587,0.125377,11.31374,5.568348,2.644722,0.836119,0.233747,1.240011,0.173576,0.270668,0.144528,0.158093,0.662138,0.321235,0.422237,0.154364,0.037322,0.675194,0.480034,0.374328,0.244081,0.127662,0.721935,0.388978,0.46097,0.17941,0.146862,0.956415,0.570151,0.880254,0.415436,0.282154,0.515054,0.346738,0.956947,0.660554,0.287205,1.246666,1.015004,0.7696,0.620796,0.169336,2.209024,0.44405,0.735491,0.70306,0.1763,1.488139,1.238307,0.681692,0.99549,0.198369,1.487213,0.747481,0.400288,0.642961,0.124835
1.503424,0.845062,0.595209,0.60619,0.195032,0.576317,0.345515,0.239262,0.258711,0.181951,1.058261,0.503688,0.64246,0.394526,0.120418,12.004434,6.962806,2.599149,0.922998,0.252577,1.385425,0.214534,0.298204,0.123417,0.140433,0.765806,0.374806,0.49516,0.156751,0.04171,0.766706,0.505152,0.320165,0.236915,0.120477,0.832806,0.369055,0.503019,0.186233,0.152836,1.081145,0.562039,0.92846,0.382374,0.261402,0.547382,0.341671,1.023692,0.631799,0.257135,1.16433,1.096974,0.762954,0.670803,0.151094,2.111964,0.448801,0.689989,0.715221,0.163506,1.659425,1.380944,0.679666,1.029826,0.198683,1.511131,0.756078,0.363263,0.642224,0.120762
1.313617,0.888055,0.535749,0.579104,0.152322,0.540131,0.374329,0.211429,0.24687,0.176315,0.962507,0.541554,0.629672,0.410406,0.115179,12.738688,7.903636,2.473198,0.967985,0.27109,1.42281,0.243986,0.321899,0.108983,0.122125,0.827415,0.397004,0.52464,0.153075,0.050154,0.828427,0.483118,0.275682,0.227598,0.115909,0.924673,0.345369,0.521132,0.200483,0.151045,1.165673,0.549647,0.887842,0.340851,0.237369,0.609988,0.322854,1.000862,0.585802,0.232333,1.076782,1.080208,0.748366,0.68434,0.132242,1.847928,0.42768,0.702545,0.708119,0.147415,1.722206,1.381863,0.63901,0.994751,0.197947,1.420094,0.730192,0.375908,0.609784,0.117139
1.095058,0.865498,0.515293,0.524359,0.113339,0.504475,0.37163,0.214719,0.230991,0.16182,0.808189,0.541043,0.668667,0.401285,0.111614,13.129433,8.050784,2.271944,0.951086,0.283316,1.346355,0.251565,0.32669,0.102267,0.10903,0.820417,0.37744,0.498053,0.145369,0.06153,0.84419,0.42268,0.243702,0.224956,0.119213,0.992382,0.320147,0.517327,0.222888,0.143886,1.200964,0.53581,0.774472,0.295083,0.216368,0.711824,0.299997,0.89999,0.529437,0.221841,1.029128,0.97241,0.734937,0.66528,0.118179,1.522696,0.38907,0.800278,0.679706,0.133433,1.656466,1.243733,0.560616,0.898688,0.195669,1.271874,0.683381,0.450621,0.560053,0.115815
0.903727,0.782597,0.580924,0.455523,0.087041,0.507503,0.34353,0.264105,0.217077,0.144951,0.660584,0.500185,0.780773,0.372787,0.110588,12.663626,7.289969,2.026022,0.864387,0.284084,1.190211,0.235604,0.314311,0.105393,0.105027,0.74023,0.327166,0.424484,0.135853,0.074051,0.81309,0.347842,0.226563,0.237874,0.132161,1.044658,0.297464,0.504069,0.254503,0.138345,1.19224,0.538407,0.636833,0.254977,0.20626,0.845231,0.298859,0.764128,0.470492,0.232971,1.024355,0.821194,0.74388,0.627127,0.114045,1.240255,0.35102,0.998893,0.638711,0.125045,1.442665,1.027314,0.482065,0.769541,0.194112,1.113405,0.640247,0.603401,0.513891,0.11647
0.780027,0.683133,0.753503,0.389487,0.076244,0.574035,0.307144,0.362751,0.208148,0.132535,0.58242,0.43136,0.958912,0.337704,0.111438,11.112359,5.815542,1.780855,0.722629,0.273037,1.022582,0.2037,0.302185,0.119824,0.110432,0.608893,0.267012,0.329296,0.126545,0.085722,0.758625,0.287248,0.226752,0.271084,0.151824,1.11415,0.276797,0.490879,0.29453,0.142573,1.186553,0.568497,0.528634,0.227405,0.211785,1.004237,0.346597,0.65362,0.412269,0.267152,1.155394,0.719084,0.800855,0.583356,0.122053,1.120199,0.332053,1.276735,0.59454,0.122976,1.292079,0.890852,0.4751,0.639807,0.196888,1.023163,0.633895,0.837358,0.485996,0.117186
0.752849,0.620416,1.008559,0.338074,0.077775,0.668172,0.286614,0.492274,0.204878,0.128357,0.607202,0.356795,1.165306,0.309833,0.112885,8.722971,4.062839,1.575802,0.56275,0.255691,0.922062,0.176538,0.318945,0.145104,0.122549,0.456723,0.215475,0.242808,0.117256,0.094785,0.702101,0.261202,0.251007,0.318386,0.171626,1.226783,0.265609,0.480409,0.338351,0.160887,1.253775,0.624005,0.48516,0.213238,0.230722,1.214356,0.446567,0.619875,0.354972,0.317691,1.575483,0.73834,0.928129,0.539323,0.139723,1.237556,0.335492,1.579788,0.551407,0.125955,1.542535,0.986353,0.6126,0.532122,0.206117,1.028758,0.675661,1.136879,0.475948,0.115807
0.778228,0.624009,1.272323,0.303432,0.085491,0.75112,0.299861,0.61436,0.204784,0.131142,0.726454,0.302296,1.341209,0.297016,0.114194,6.038127,2.530132,1.430121,0.422462,0.239382,0.927466,0.17481,0.386558,0.177295,0.138419,0.308876,0.182935,0.190063,0.107763,0.100445,0.656275,0.275989,0.311489,0.365254,0.185022,1.382793,0.274578,0.467089,0.37907,0.190353,1.427321,0.688479,0.501453,0.206904,0.25387,1.49168,0.572804,0.665767,0.299569,0.371698,2.370034,0.881251,1.108412,0.491431,0.161489,1.579855,0.351924,1.825657,0.506503,0.131693,2.426627,1.356076,0.898916,0.450642,0.220861,1.110841,0.748992,1.451298,0.469763,0.111886
0.845103,0.683606,1.458951,0.282384,0.09476,0.788188,0.349812,0.688489,0.206791,0.13683,0.889855,0.286603,1.429275,0.298413,0.116328,3.599952,1.498123,1.328339,0.330438,0.229627,1.013521,0.208127,0.503262,0.209682,0.156896,0.188174,0.1725,0.17764,0.098897,0.103158,0.621158,0.325903,0.409607,0.397436,0.188353,1.545509,0.31428,0.442929,0.40844,0.221408,1.663606,0.732791,0.547346,0.200799,0.269687,1.818167,0.672719,0.759098,0.252365,0.414798,3.439112,1.07179,1.296494,0.439801,0.181843,2.037447,0.369934,1.937408,0.459359,0.139504,3.860593,1.882056,1.268334,0.388561,0.236227,1.226409,0.818009,1.71708,0.453364,0.108494
