POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
47.263771,6.585939,2.179184,1.071765,0.445556,237.772324,34.12146,6.054389,1.575284,0.607098,11.255503,1.923669,1.463378,0.740808,0.387682,44.823357,7.162379,1.979132,0.743059,0.583271,5.0356,1.014696,1.031587,0.623006,1.472524,2.010315,0.547058,1.009086,0.377321,0.179208,2.686846,0.787244,1.288214,0.619603,0.2564,4.04179,0.548126,0.957685,0.716688,0.431823,3.827652,0.412175,0.821952,0.929636,0.555173,6.217602,0.532129,1.090351,1.042369,1.466652,17.962564,1.735375,1.298054,1.220489,0.835408,11.860617,1.945146,1.6885,1.339922,0.734861,64.490776,6.259581,1.976207,1.54906,0.934743,41.855255,6.086851,2.263276,1.026259,0.597197
66.437042,8.552936,2.459314,1.077764,0.438641,330.347229,45.068817,7.988509,1.792454,0.572325,15.030452,2.224303,1.343356,0.74122,0.394754,62.220604,8.846333,2.215206,0.721785,0.522305,5.15827,1.374989,0.836495,0.541268,1.265943,2.066138,0.5012,0.866112,0.360675,0.174776,2.55475,0.733781,1.041339,0.601486,0.246339,3.797756,0.458312,0.795689,0.666665,0.425109,3.503692,0.349603,0.698119,0.853,0.521025,5.919416,0.578745,0.939876,1.065418,1.450267,24.374105,2.378136,1.319983,1.145171,0.823541,15.050503,2.188048,1.570412,1.198584,0.740194,91.676941,9.002484,2.47887,1.590678,0.951714,60.788586,8.375595,2.522297,1.037928,0.581435
79.830925,9.766678,2.732466,0.999622,0.421758,392.672943,52.066719,9.701075,1.940226,0.534406,17.782141,2.403549,1.254758,0.678089,0.393175,74.349815,9.798206,2.442352,0.663817,0.443281,5.094745,1.698693,0.631284,0.439368,1.062456,1.971457,0.464662,0.693006,0.350732,0.174127,2.307897,0.641729,0.753079,0.55632,0.237224,3.331535,0.400432,0.638807,0.581255,0.402821,2.971192,0.309566,0.574449,0.728938,0.467507,5.223825,0.649053,0.797995,1.042806,1.388982,29.509907,2.928919,1.283429,1.014932,0.789482,17.417063,2.329755,1.443512,0.9926,0.716777,113.017662,11.146132,2.859492,1.519271,0.905075,75.226318,9.995852,2.746742,0.98076,0.546302
82.295128,9.823447,2.88402,0.859023,0.39961,401.913574,52.755486,10.606372,1.959252,0.496347,18.352148,2.392807,1.20477,0.569277,0.38712,76.533806,9.647853,2.554691,0.581912,0.367827,4.883461,1.864256,0.478111,0.341713,0.904933,1.734903,0.444084,0.540285,0.352582,0.177511,2.011855,0.540701,0.511602,0.500235,0.233598,2.757987,0.379736,0.529098,0.482054,0.371751,2.350463,0.304453,0.478214,0.591352,0.41407,4.43251,0.732368,0.691116,0.977011,1.307102,31.217945,3.202479,1.173199,0.867631,0.75607,17.874228,2.323615,1.340479,0.784957,0.679345,119.384743,11.977029,2.991776,1.365079,0.817033,79.561539,10.400201,2.828812,0.871695,0.50241
72.801712,8.66803,2.832895,0.695596,0.377364,352.403534,46.834511,10.393267,1.832954,0.457607,16.520859,2.158478,1.17924,0.444941,0.380117,67.83268,8.371547,2.485404,0.494133,0.312863,4.571916,1.806508,0.425984,0.266069,0.808277,1.434386,0.429008,0.438611,0.359312,0.183423,1.769776,0.45072,0.379462,0.446183,0.238293,2.285927,0.394398,0.488006,0.388054,0.341545,1.847879,0.348498,0.428159,0.469046,0.381989,3.658633,0.810586,0.623478,0.885575,1.246969,29.142485,3.095871,1.009477,0.7324,0.746078,16.286898,2.1513,1.284803,0.622552,0.645292,109.667938,11.181224,2.862945,1.175249,0.721185,72.181641,9.457908,2.713528,0.739231,0.46168
56.414101,6.804079,2.61676,0.555745,0.359481,267.597626,36.604179,9.227174,1.622379,0.418706,13.204214,1.785544,1.176858,0.337866,0.374341,52.268715,6.408142,2.263222,0.423872,0.284888,4.281409,1.562597,0.489609,0.222611,0.761912,1.143955,0.403009,0.386822,0.360865,0.190006,1.607146,0.387181,0.369267,0.402555,0.251943,2.048183,0.438488,0.514709,0.311048,0.319637,1.610601,0.447649,0.439977,0.377162,0.383638,3.314052,0.875977,0.583696,0.791088,1.249723,25.312069,2.755194,0.851964,0.62816,0.769389,13.602276,1.902894,1.299278,0.522146,0.627854,91.041542,9.286172,2.605256,0.999858,0.649836,57.829227,7.694439,2.465995,0.616838,0.434133
40.625042,5.001141,2.388739,0.480734,0.350049,182.650711,25.736984,7.684466,1.434942,0.385086,9.824058,1.424696,1.221403,0.275673,0.372283,36.433529,4.401266,2.002387,0.393866,0.281166,4.199585,1.260902,0.645203,0.217782,0.743226,0.922647,0.364747,0.36816,0.352372,0.197535,1.509502,0.362047,0.449094,0.372269,0.273636,2.110039,0.497917,0.591091,0.254657,0.307696,1.72372,0.587083,0.526011,0.316828,0.415113,3.40977,0.936871,0.563527,0.713996,1.331248,22.548895,2.450376,0.786428,0.576906,0.817963,11.120529,1.719093,1.411087,0.480349,0.633267,74.504242,7.318919,2.462162,0.886356,0.627738,43.631958,5.969844,2.257675,0.544841,0.426718
31.259399,3.858555,2.324814,0.491151,0.352401,125.62397,17.504517,6.445209,1.359942,0.363804,7.641999,1.190149,1.341163,0.271806,0.377606,25.044487,2.913624,1.841364,0.416969,0.294218,4.423264,1.031349,0.850146,0.256028,0.732966,0.804406,0.332633,0.366829,0.335858,0.209068,1.437702,0.380544,0.566701,0.350831,0.300968,2.392365,0.551355,0.696374,0.217813,0.303558,2.133646,0.722957,0.69029,0.283535,0.460369,4.063376,1.006283,0.571458,0.67001,1.470021,22.964048,2.385223,0.891041,0.60357,0.872845,9.939492,1.680125,1.634171,0.486911,0.659494,68.405998,6.173856,2.6365,0.8629,0.668637,35.604774,4.969892,2.267128,0.556351,0.442428
29.856995,3.599051,2.499086,0.574273,0.368033,105.596077,13.356877,5.881313,1.416603,0.360022,7.130258,1.145249,1.532849,0.318413,0.393163,20.00647,2.20422,1.845161,0.487066,0.316079,4.975183,0.958102,1.040239,0.33564,0.719229,0.806281,0.335035,0.370558,0.320463,0.228059,1.368194,0.454341,0.675938,0.334478,0.330471,2.688815,0.601245,0.817999,0.200604,0.305503,2.609134,0.809043,0.925895,0.274463,0.501765,4.936718,1.0858,0.633284,0.666722,1.619335,26.429163,2.617762,1.212541,0.72168,0.917068,10.260485,1.808797,1.954495,0.528312,0.697849,73.760056,6.186924,3.182457,0.927998,0.772851,35.382801,4.939379,2.564256,0.655011,0.479236
33.137615,3.957778,2.80869,0.689202,0.396226,111.09166,12.478703,5.835119,1.540423,0.37459,7.758969,1.236574,1.744267,0.39297,0.4189,19.338236,2.112479,1.947576,0.577776,0.342902,5.873584,1.042004,1.152954,0.447732,0.696926,0.926579,0.378995,0.383291,0.317495,0.255641,1.312588,0.571525,0.766492,0.325741,0.358693,2.828877,0.640823,0.94911,0.203017,0.31487,2.918311,0.814393,1.213409,0.289148,0.529931,5.649407,1.163208,0.771006,0.700752,1.729054,30.584084,3.000684,1.730137,0.912005,0.944748,11.31222,2.023399,2.323733,0.591758,0.738917,83.615822,6.935971,3.934852,1.049845,0.923571,39.626137,5.545626,3.028584,0.808086,0.531094
