POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
3.55862,1.252258,0.572331,0.362552,0.117448,2.537745,0.484834,0.494973,0.28896,0.122795,4.550477,1.800613,0.586137,0.455845,0.102467,1.715629,1.006671,0.823334,0.407914,0.123774,1.133971,0.406951,0.275975,0.196077,0.085544,0.650049,0.428048,0.19193,0.202872,0.09187,0.810614,0.683212,0.119021,0.237169,0.107408,1.036102,1.222157,0.259158,0.150337,0.098886,1.7854,1.576702,0.452161,0.283724,0.086341,1.476665,1.309942,0.762988,0.57213,0.290099,3.088878,1.656873,0.693674,0.565413,0.157345,4.909897,2.328014,0.696744,0.594631,0.133625,1.187211,1.060884,0.515898,0.394065,0.164758,4.218904,1.695459,0.671867,0.42283,0.106416
3.544978,1.147746,0.658034,0.346096,0.091482,2.840388,0.467211,0.586182,0.270088,0.111508,4.62763,1.862718,0.602118,0.456771,0.091252,1.798225,1.068127,0.893048,0.373982,0.125131,1.144611,0.441708,0.307185,0.204232,0.086339,0.615497,0.382263,0.176605,0.194445,0.086117,0.810476,0.5981,0.124398,0.208429,0.098264,0.936006,1.212194,0.238661,0.151652,0.095672,1.609532,1.422333,0.464032,0.295609,0.091958,1.462678,1.279581,0.854729,0.591847,0.287863,2.862318,1.530189,0.710856,0.543368,0.133826,4.589649,2.174219,0.721184,0.562353,0.117252,1.057301,0.951142,0.597424,0.413314,0.156525,4.323872,1.611078,0.763988,0.398419,0.097591
3.200682,1.039548,0.741548,0.324139,0.072354,2.922062,0.433278,0.638221,0.253146,0.099567,4.383532,1.85334,0.592624,0.439466,0.08519,1.935855,1.10153,0.881699,0.33258,0.123041,1.089654,0.472361,0.321686,0.212011,0.086226,0.560927,0.372191,0.168907,0.183524,0.081689,0.788618,0.564142,0.133695,0.175309,0.088355,0.846455,1.267676,0.215051,0.146286,0.099276,1.436836,1.291688,0.455566,0.297966,0.09618,1.545404,1.223175,0.880138,0.580213,0.273702,2.589322,1.364685,0.679688,0.50368,0.117511,4.083493,2.017331,0.704638,0.503474,0.105736,0.927885,0.839755,0.644,0.423281,0.146952,4.057896,1.499479,0.808112,0.37152,0.093582
2.602099,0.96121,0.82197,0.304446,0.063857,2.844595,0.42591,0.652749,0.246633,0.088425,3.800193,1.767869,0.573632,0.407165,0.083856,2.113011,1.155246,0.796644,0.295603,0.11622,0.986219,0.482402,0.32651,0.216587,0.083827,0.520152,0.39611,0.17002,0.170035,0.079873,0.769718,0.582291,0.150353,0.146821,0.081659,0.804461,1.378509,0.194381,0.138046,0.111957,1.342175,1.204339,0.429416,0.295102,0.099755,1.731493,1.130243,0.840517,0.547152,0.256069,2.315612,1.205549,0.624763,0.462241,0.113417,3.448747,1.894884,0.668249,0.432086,0.101467,0.837419,0.784221,0.671493,0.429972,0.138502,3.450378,1.406395,0.827787,0.353365,0.095152
2.075673,0.950166,0.899483,0.29319,0.06545,2.956345,0.537975,0.678511,0.260581,0.081623,3.040606,1.6344,0.55801,0.366487,0.084711,2.350444,1.277279,0.68606,0.274287,0.106342,0.858449,0.461368,0.327592,0.21476,0.07895,0.494539,0.435248,0.176261,0.15494,0.081158,0.745807,0.627156,0.172928,0.131961,0.081542,0.78252,1.499063,0.183292,0.133469,0.133784,1.341874,1.14621,0.389484,0.293815,0.105461,1.984937,0.998554,0.752048,0.504219,0.246353,2.095357,1.096009,0.574337,0.430406,0.121831,2.818099,1.829988,0.62846,0.364927,0.10462,0.88711,0.822956,0.712539,0.440359,0.133319,2.813102,1.383951,0.857825,0.350385,0.100597
1.842764,1.00046,0.968296,0.295478,0.073145,3.54311,0.829742,0.771041,0.302561,0.082534,2.238691,1.457743,0.549673,0.328754,0.085083,2.68441,1.455919,0.610068,0.277549,0.096957,0.717093,0.41043,0.329581,0.206545,0.073255,0.49837,0.458603,0.18419,0.14093,0.085496,0.722189,0.655543,0.197717,0.135461,0.089235,0.777404,1.564943,0.185029,0.136954,0.162193,1.440284,1.070144,0.342525,0.298687,0.115644,2.247864,0.822791,0.638928,0.460733,0.252845,1.970742,1.036091,0.553433,0.412637,0.138761,2.26852,1.779144,0.590947,0.316416,0.113884,1.168055,0.955972,0.799906,0.46036,0.132828,2.3754,1.43543,0.922398,0.36555,0.107187
2.0393,1.090492,1.012588,0.314721,0.082624,4.652359,1.28589,0.946768,0.371024,0.09174,1.585386,1.257939,0.542998,0.305891,0.08373,3.107004,1.630026,0.595877,0.304223,0.091405,0.574818,0.344605,0.331986,0.195646,0.06967,0.512983,0.448003,0.189318,0.130503,0.092291,0.682747,0.640754,0.220125,0.156024,0.103186,0.752092,1.532007,0.19866,0.148368,0.192151,1.579496,0.950141,0.299469,0.309578,0.12978,2.451557,0.622497,0.528176,0.420988,0.275799,1.960934,1.010522,0.574045,0.406476,0.157579,1.857297,1.698556,0.552838,0.294733,0.127426,1.694131,1.147421,0.944515,0.491676,0.137894,2.32828,1.538267,1.016794,0.399373,0.113241
2.590033,1.18471,1.015642,0.352804,0.091417,6.035805,1.794161,1.163359,0.454871,0.106303,1.185565,1.066311,0.526807,0.307687,0.081346,3.541567,1.733259,0.640988,0.347664,0.091064,0.454268,0.285747,0.329257,0.187504,0.070992,0.517322,0.403852,0.187922,0.123791,0.100092,0.624415,0.585669,0.238805,0.186089,0.11937,0.701468,1.400955,0.220436,0.163495,0.217134,1.695274,0.799655,0.264038,0.32077,0.144002,2.54905,0.430416,0.432191,0.386259,0.306855,2.068223,1.00655,0.630693,0.408118,0.171509,1.608206,1.573909,0.508321,0.30328,0.14271,2.40843,1.343457,1.118364,0.531363,0.149002,2.672662,1.649042,1.107517,0.452517,0.119549
3.23607,1.236899,0.968305,0.405316,0.098482,7.164085,2.183889,1.334718,0.533457,0.120813,1.057985,0.905902,0.484281,0.335684,0.079306,3.957952,1.740052,0.749445,0.396166,0.094796,0.38131,0.249801,0.31395,0.185729,0.078544,0.494781,0.339706,0.179382,0.11906,0.106754,0.551663,0.522181,0.253419,0.214513,0.13231,0.624982,1.217402,0.25099,0.176612,0.230284,1.714041,0.663591,0.237268,0.323462,0.152444,2.503968,0.293869,0.352695,0.356184,0.332332,2.226195,1.035339,0.691454,0.415032,0.176354,1.494184,1.42794,0.450737,0.33844,0.155879,3.094987,1.500584,1.260831,0.572586,0.16517,3.206415,1.711212,1.138272,0.519411,0.127521
3.704702,1.216736,0.894119,0.462155,0.103767,7.621513,2.320858,1.415736,0.591287,0.13029,1.122216,0.783535,0.424603,0.38215,0.078625,4.442036,1.687852,0.958059,0.437851,0.100253,0.374525,0.236984,0.288195,0.190433,0.091117,0.434851,0.275943,0.171045,0.114369,0.110146,0.473576,0.497092,0.266773,0.230781,0.137042,0.536981,1.035462,0.286088,0.184551,0.227064,1.605948,0.572165,0.219053,0.310415,0.150714,2.317278,0.241984,0.292606,0.328487,0.339935,2.350872,1.103354,0.731275,0.421341,0.17227,1.455014,1.292057,0.389364,0.386874,0.163223,3.590488,1.607521,1.334303,0.605178,0.18354,3.672694,1.677775,1.092364,0.587215,0.137726
