POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1.35463,1.103872,0.566468,0.263985,0.160295,3.655468,1.393764,0.278735,0.230303,0.16954,0.721997,0.780973,0.939978,0.220241,0.129152,6.007581,1.715687,0.366401,0.28926,0.123254,0.441197,0.338021,0.193327,0.130809,0.1373,0.256317,0.157672,0.108904,0.109322,0.108565,0.25947,0.268588,0.219121,0.211317,0.139804,0.743686,0.9212,0.344377,0.237751,0.161142,1.298905,0.474983,0.508909,0.217104,0.153237,1.201547,0.664776,0.347778,0.434452,0.380797,2.223108,1.272759,0.383488,0.423052,0.327826,1.349036,0.943911,0.744471,0.379432,0.228397,4.799852,1.455192,0.555907,0.421785,0.346113,1.916236,1.138931,0.511604,0.29636,0.189324
0.884793,0.94001,0.672032,0.268693,0.183565,1.924149,1.24369,0.291396,0.214446,0.183683,0.781844,0.770386,1.020175,0.212829,0.130763,3.475837,0.987985,0.282271,0.265265,0.1204,0.434132,0.292084,0.179819,0.125214,0.133033,0.179493,0.182836,0.118124,0.116848,0.130641,0.185751,0.292534,0.221361,0.198371,0.156133,0.745859,0.967179,0.356144,0.207967,0.197563,1.321219,0.454744,0.559285,0.241064,0.187283,1.272386,0.552519,0.438561,0.498328,0.458059,2.030312,1.017288,0.422101,0.470191,0.393635,1.433887,0.885518,0.789567,0.359392,0.258273,3.505249,1.091616,0.664132,0.423057,0.418388,1.573343,0.959867,0.565278,0.276548,0.201981
0.682221,0.773599,0.751978,0.274582,0.200543,1.069861,1.147325,0.308434,0.197558,0.19432,0.882842,0.725397,1.057927,0.213429,0.129819,2.282442,0.60983,0.263371,0.255355,0.116037,0.460622,0.25962,0.178958,0.118689,0.119684,0.149196,0.210608,0.144843,0.121227,0.147457,0.139403,0.292013,0.225528,0.17757,0.162428,0.653953,0.904969,0.342719,0.175289,0.228206,1.202516,0.42506,0.552884,0.260275,0.220335,1.254681,0.442318,0.507058,0.55099,0.519363,1.811784,0.747927,0.441585,0.512671,0.448062,1.471117,0.760803,0.823006,0.344369,0.284066,2.659404,0.738783,0.753041,0.420733,0.468778,1.402065,0.758017,0.600092,0.259412,0.205738
0.668989,0.643799,0.767965,0.284543,0.207668,0.847528,1.061203,0.312172,0.183993,0.198365,1.008287,0.684041,1.02447,0.224547,0.126838,1.963541,0.487985,0.281755,0.257047,0.11616,0.52113,0.247607,0.190361,0.114549,0.102928,0.155155,0.239839,0.190425,0.120185,0.154401,0.1425,0.266177,0.231506,0.154828,0.157276,0.527086,0.765885,0.306832,0.149944,0.246411,0.998552,0.394936,0.492546,0.270348,0.242916,1.162392,0.364728,0.530273,0.584282,0.548465,1.622188,0.540084,0.430245,0.544867,0.475248,1.483699,0.632673,0.811185,0.342284,0.298972,2.096882,0.465123,0.778472,0.412867,0.485646,1.378145,0.578465,0.589925,0.246846,0.201269
0.735226,0.594677,0.70921,0.296716,0.203858,0.874334,0.970844,0.295451,0.174729,0.193887,1.143689,0.711162,0.919339,0.242867,0.122471,1.949857,0.511329,0.310895,0.26093,0.125533,0.609455,0.268142,0.210815,0.114373,0.089984,0.188917,0.275137,0.248553,0.113588,0.150166,0.213765,0.227891,0.240046,0.135952,0.142954,0.382757,0.604741,0.259411,0.138704,0.248893,0.783016,0.387652,0.40038,0.268255,0.248995,1.055014,0.348254,0.500793,0.593691,0.542672,1.464597,0.445426,0.391438,0.562098,0.466769,1.505504,0.581287,0.740903,0.353267,0.29914,1.802042,0.298921,0.722336,0.39599,0.467365,1.415864,0.457801,0.528652,0.237953,0.192089
0.82665,0.668005,0.602879,0.305154,0.190675,0.959236,0.920282,0.261482,0.168584,0.18092,1.265277,0.862288,0.773248,0.261325,0.117598,1.892282,0.657866,0.34007,0.256937,0.145135,0.714994,0.329081,0.234086,0.116137,0.085631,0.227014,0.323403,0.305746,0.102857,0.136901,0.335771,0.197396,0.251025,0.124905,0.12428,0.273537,0.476283,0.213478,0.142968,0.236331,0.618084,0.424376,0.306548,0.254488,0.237696,0.986441,0.399322,0.430705,0.583938,0.511739,1.375309,0.487027,0.342254,0.561916,0.425562,1.556437,0.671132,0.629724,0.370904,0.285534,1.466257,0.242614,0.602521,0.36972,0.422032,1.468225,0.423305,0.438455,0.231269,0.182871
0.939707,0.875958,0.497406,0.303398,0.171496,1.083021,0.949267,0.223988,0.163644,0.161608,1.393109,1.143156,0.62941,0.271832,0.112994,1.841069,0.949129,0.371868,0.241269,0.171324,0.777723,0.423513,0.253612,0.115665,0.089926,0.271784,0.385333,0.34409,0.090101,0.118897,0.492235,0.19321,0.259103,0.123363,0.106785,0.233379,0.416391,0.179759,0.158962,0.212847,0.561035,0.51699,0.235041,0.233883,0.213178,0.986507,0.497087,0.343518,0.566248,0.471417,1.357002,0.648622,0.303877,0.546188,0.364556,1.697085,0.920206,0.515516,0.38525,0.262989,1.227609,0.27623,0.461384,0.339003,0.36395,1.513392,0.487014,0.35712,0.226413,0.177486
1.037565,1.180884,0.43043,0.288584,0.150114,1.221853,1.057055,0.197335,0.159333,0.139262,1.472872,1.494513,0.515881,0.269106,0.109006,1.830086,1.350578,0.408589,0.218115,0.196811,0.779847,0.528599,0.262231,0.109965,0.098686,0.317158,0.454172,0.351436,0.077618,0.100722,0.637694,0.222318,0.25669,0.12997,0.094508,0.247385,0.42162,0.161232,0.180263,0.184704,0.565753,0.651761,0.190347,0.214028,0.182995,0.986626,0.60096,0.259597,0.553977,0.436062,1.332398,0.87633,0.284209,0.521981,0.3016,1.827787,1.28131,0.42564,0.388897,0.237665,0.96962,0.360645,0.339469,0.313073,0.307424,1.46478,0.634642,0.310649,0.223745,0.177417
1.120578,1.494482,0.406399,0.262353,0.130223,1.362734,1.189542,0.189207,0.156059,0.117319,1.517261,1.804278,0.433295,0.252206,0.105994,1.919228,1.761841,0.441209,0.196011,0.213952,0.751993,0.613059,0.251937,0.099328,0.10747,0.37969,0.513012,0.320898,0.067091,0.085577,0.756793,0.276512,0.236632,0.140394,0.088524,0.328895,0.462278,0.155147,0.199908,0.158189,0.643862,0.790395,0.161416,0.201724,0.155419,1.021778,0.664343,0.190138,0.55687,0.414956,1.354784,1.099655,0.267954,0.49873,0.252448,1.957377,1.653173,0.359831,0.380198,0.21473,0.831854,0.452291,0.256793,0.298094,0.262987,1.404093,0.821124,0.296425,0.222839,0.181572
1.173369,1.710533,0.408537,0.231332,0.114863,1.438235,1.268056,0.20303,0.155211,0.098403,1.488597,1.961895,0.373438,0.226132,0.104202,2.117355,2.064018,0.462397,0.181612,0.217795,0.731724,0.653728,0.227096,0.088436,0.11586,0.475532,0.547827,0.26128,0.058974,0.074514,0.846614,0.341085,0.201903,0.148543,0.087269,0.449276,0.500862,0.152639,0.213245,0.137633,0.742396,0.892855,0.136613,0.202096,0.136625,1.017351,0.662766,0.140108,0.575781,0.411261,1.376787,1.273214,0.255563,0.487218,0.225606,2.001434,1.93227,0.322032,0.366681,0.197255,0.731755,0.530022,0.220483,0.295433,0.236082,1.337751,0.994373,0.302772,0.224131,0.187207
1.216186,1.762298,0.411342,0.203408,0.105829,1.414855,1.243294,0.233226,0.157532,0.0838,1.389474,1.919775,0.332053,0.200097,0.103287,2.297185,2.177187,0.470366,0.17613,0.207815,0.797298,0.648495,0.197783,0.082353,0.127435,0.58365,0.548954,0.192205,0.053066,0.067477,0.881107,0.397002,0.164261,0.147689,0.088278,0.585823,0.510563,0.146725,0.218646,0.125076,0.826714,0.931578,0.115059,0.217055,0.129093,0.989376,0.598277,0.113192,0.602559,0.422265,1.434441,1.364633,0.260478,0.492937,0.22094,1.961802,2.054363,0.322874,0.358498,0.186309,0.71128,0.577942,0.220894,0.301003,0.226434,1.324773,1.106993,0.315607,0.228619,0.19154
1.259608,1.641783,0.389107,0.186216,0.103679,1.315248,1.115536,0.26916,0.164777,0.074576,1.272496,1.704286,0.309369,0.185703,0.102989,2.38395,2.097273,0.466594,0.177868,0.187989,0.935547,0.609979,0.174426,0.08344,0.146911,0.704576,0.516055,0.132874,0.049405,0.064969,0.897065,0.425877,0.136745,0.135242,0.090954,0.731411,0.485687,0.137607,0.217574,0.121005,0.878772,0.910091,0.102968,0.246009,0.132112,0.958608,0.496174,0.113155,0.624981,0.443225,1.538701,1.366645,0.292624,0.515282,0.232137,1.925285,2.009368,0.36732,0.365605,0.181877,0.706535,0.599134,0.243645,0.309403,0.230896,1.393058,1.133002,0.321556,0.24093,0.193865
1.310885,1.403003,0.337588,0.18917,0.107604,1.204029,0.941053,0.299865,0.181293,0.072278,1.171553,1.395358,0.312484,0.196158,0.103748,2.354251,1.888738,0.456301,0.188606,0.16492,1.14279,0.554737,0.164612,0.093239,0.177474,0.802734,0.457109,0.096088,0.048784,0.068425,0.891063,0.416992,0.127667,0.11505,0.0973,0.853801,0.434498,0.136692,0.213785,0.124594,0.881219,0.853484,0.108367,0.285692,0.142901,0.953627,0.388776,0.145112,0.631607,0.469208,1.683539,1.296001,0.363324,0.550813,0.25085,1.934494,1.828835,0.462349,0.3979,0.183612,0.712457,0.6092,0.287879,0.322763,0.244219,1.518986,1.079788,0.329142,0.272516,0.195983
1.371273,1.131883,0.284584,0.224178,0.115682,1.165388,0.784827,0.321036,0.215811,0.078722,1.117378,1.08743,0.350946,0.246658,0.106158,2.262415,1.634656,0.445941,0.21735,0.144848,1.338911,0.496483,0.171838,0.116283,0.219307,0.860205,0.388068,0.084935,0.052297,0.078976,0.879079,0.372549,0.13892,0.095242,0.109275,0.946774,0.371113,0.15564,0.211014,0.133113,0.845257,0.790782,0.133809,0.328067,0.15749,0.973687,0.304498,0.208842,0.621114,0.497162,1.847727,1.178558,0.474164,0.594881,0.271375,1.999792,1.570036,0.608252,0.461918,0.191191,0.748783,0.619708,0.367759,0.351655,0.260361,1.658354,0.982121,0.365889,0.337271,0.200675
