POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
3.092449,0.457088,0.413068,0.448937,0.154024,8.015206,1.382848,0.748329,0.438983,0.127226,2.961722,0.512762,0.350908,0.570933,0.171693,4.295954,0.935569,0.50236,0.474268,0.201622,1.079462,0.222851,0.222341,0.262952,0.139186,0.495083,0.144863,0.087088,0.23864,0.148835,0.477905,0.414877,0.269644,0.241723,0.142217,0.4024,0.716685,0.465488,0.332539,0.127092,1.084417,0.472088,0.470049,0.374508,0.172836,0.886167,0.305416,0.605712,0.461805,0.258198,1.191795,0.394639,0.378818,0.717615,0.287073,1.91023,0.522442,0.202131,0.545826,0.222717,1.842233,0.353358,0.282797,0.491047,0.164954,2.744154,0.381187,0.350285,0.500921,0.12259
3.614401,0.611836,0.460255,0.457893,0.151461,11.575446,1.857524,0.874953,0.484054,0.138709,3.086941,0.656342,0.35048,0.59391,0.174671,5.263866,0.986095,0.540911,0.493206,0.197696,0.982018,0.28656,0.216657,0.272433,0.1638,0.552271,0.155287,0.09176,0.25945,0.16061,0.534793,0.438389,0.295997,0.227788,0.143392,0.373035,0.869577,0.477582,0.328148,0.136305,1.207054,0.574717,0.409121,0.371384,0.180516,0.765032,0.30378,0.48813,0.517487,0.25683,1.444383,0.558088,0.464408,0.711951,0.281566,2.007322,0.727566,0.290355,0.577309,0.225928,3.265685,0.569554,0.446554,0.528532,0.177885,3.098661,0.483585,0.416638,0.49842,0.131371
4.578473,0.874419,0.523405,0.444964,0.144321,16.749771,2.471993,0.987541,0.514199,0.149495,3.181936,0.853373,0.370258,0.58442,0.176077,6.718852,1.058317,0.600239,0.501567,0.186632,0.872878,0.365855,0.220153,0.281158,0.184758,0.573025,0.169581,0.101627,0.279768,0.163759,0.581092,0.478888,0.306468,0.220819,0.136684,0.401799,1.038027,0.493858,0.31036,0.141331,1.361231,0.6903,0.375654,0.362101,0.187271,0.731157,0.321261,0.406361,0.557441,0.250116,2.392617,0.817227,0.628919,0.67672,0.262192,2.259077,1.007329,0.413076,0.586869,0.219293,6.420559,0.977405,0.716354,0.560353,0.190935,4.13812,0.686768,0.541783,0.49619,0.139899
5.954693,1.204533,0.589036,0.412824,0.135427,22.995323,3.181224,1.075118,0.527305,0.158818,3.258292,1.046087,0.398581,0.543284,0.178139,8.283408,1.130179,0.653638,0.504057,0.173708,0.79075,0.44496,0.227267,0.288664,0.197637,0.546999,0.182192,0.117392,0.296787,0.158471,0.595627,0.525617,0.300835,0.221268,0.124649,0.479493,1.171202,0.510049,0.28212,0.139912,1.534218,0.781265,0.364798,0.341275,0.191437,0.76344,0.346514,0.377472,0.575531,0.24613,3.904604,1.09185,0.838204,0.617475,0.234037,2.596448,1.280867,0.541204,0.567583,0.204565,10.935811,1.480219,1.039848,0.575125,0.203363,5.774939,0.954599,0.705578,0.487622,0.146901
7.534391,1.518877,0.636637,0.370191,0.127927,28.936604,3.871742,1.145165,0.52829,0.168825,3.3638,1.182414,0.418523,0.478383,0.181917,9.717847,1.178371,0.684053,0.504939,0.164853,0.753247,0.508635,0.230559,0.292982,0.199941,0.4822,0.185695,0.13523,0.306717,0.146826,0.580387,0.559584,0.28231,0.224002,0.111246,0.629446,1.220718,0.518268,0.248343,0.132097,1.752869,0.819099,0.366993,0.309161,0.192191,0.877304,0.381786,0.398563,0.57569,0.252925,5.762134,1.305886,1.037204,0.545609,0.203106,3.011238,1.466692,0.64341,0.519038,0.185036,16.059126,1.942966,1.333468,0.567905,0.215009,7.722114,1.217434,0.866012,0.470216,0.152927
8.824784,1.736789,0.648781,0.327108,0.123765,33.196056,4.435259,1.222135,0.525489,0.18165,3.472291,1.234143,0.412709,0.401583,0.186717,10.625451,1.200724,0.678162,0.504932,0.163357,0.774683,0.552955,0.222755,0.29201,0.192316,0.391512,0.175445,0.147672,0.305628,0.131987,0.553404,0.560525,0.255785,0.222498,0.099864,0.864841,1.163269,0.518575,0.216803,0.120321,2.004228,0.78687,0.368096,0.271406,0.190741,1.046483,0.439995,0.446512,0.565827,0.273126,7.398122,1.406787,1.16063,0.471209,0.17449,3.396108,1.514301,0.692466,0.448892,0.164535,20.038588,2.239718,1.506876,0.539098,0.225652,9.327826,1.409027,0.969173,0.446221,0.159203
9.381337,1.811165,0.619002,0.292423,0.122845,34.475941,4.779319,1.314154,0.526583,0.197168,3.543808,1.209047,0.376812,0.326654,0.190388,10.547647,1.194711,0.633436,0.50402,0.168316,0.841989,0.589112,0.202034,0.28459,0.177835,0.300663,0.152902,0.148015,0.290764,0.116818,0.545569,0.52081,0.226943,0.213734,0.092137,1.195314,1.012343,0.519309,0.19719,0.108467,2.255721,0.693897,0.355672,0.235226,0.189038,1.253186,0.542923,0.485559,0.552523,0.301991,8.295684,1.407105,1.174288,0.403129,0.151805,3.6588,1.439955,0.681364,0.372685,0.14599,21.669739,2.314831,1.504836,0.498245,0.235041,10.069248,1.507499,0.980459,0.423325,0.166182
9.079058,1.73891,0.555359,0.271369,0.123367,32.570843,4.844138,1.405861,0.53181,0.211908,3.53964,1.124582,0.319589,0.267934,0.190303,9.597777,1.163361,0.558068,0.501936,0.175033,0.980012,0.626714,0.17445,0.270364,0.160719,0.229997,0.12224,0.13364,0.261899,0.103004,0.583828,0.445223,0.199259,0.198697,0.087883,1.600441,0.81272,0.525604,0.195141,0.100103,2.484417,0.567591,0.324527,0.204818,0.18829,1.451499,0.692255,0.487185,0.538245,0.331193,8.225068,1.356099,1.090425,0.348696,0.137557,3.774188,1.292601,0.622778,0.308835,0.130826,20.241634,2.191297,1.332456,0.45662,0.24248,9.757663,1.518698,0.899023,0.408869,0.172413
8.003522,1.564946,0.482661,0.266689,0.12274,27.913544,4.604897,1.465441,0.534388,0.220404,3.394927,1.022658,0.263241,0.2373,0.184215,7.894161,1.111687,0.472518,0.499155,0.178484,1.158055,0.678573,0.147372,0.250666,0.145097,0.194401,0.090972,0.108004,0.222539,0.091243,0.665054,0.354674,0.173641,0.180868,0.085863,1.995225,0.6207,0.531615,0.20781,0.098017,2.61973,0.439426,0.279723,0.18048,0.18869,1.579902,0.861841,0.444084,0.520743,0.355001,7.181183,1.314357,0.954707,0.316861,0.132859,3.657918,1.138828,0.54156,0.273503,0.119013,16.381836,1.957687,1.056541,0.425196,0.246868,8.506691,1.482573,0.760874,0.407436,0.174908
6.551591,1.377585,0.439473,0.276918,0.119742,21.857897,4.138052,1.464724,0.523426,0.218536,3.110158,0.951272,0.241982,0.239232,0.17197,5.966434,1.068084,0.407249,0.494612,0.1762,1.351856,0.738013,0.128255,0.228295,0.133779,0.198688,0.069321,0.079672,0.179632,0.081701,0.763323,0.275773,0.151572,0.164491,0.084829,2.268777,0.476518,0.525211,0.226359,0.103785,2.600077,0.334703,0.235802,0.162545,0.189699,1.594062,1.007104,0.378308,0.498045,0.372925,5.568105,1.331523,0.827777,0.317769,0.136871,3.325212,1.039278,0.471418,0.275409,0.1106,11.351284,1.729986,0.778345,0.412765,0.247226,6.78428,1.457819,0.627755,0.418834,0.171495
